cell_id,Eupsittula nana,Eupsittula nana astec/vicinalis,Eupsittula nana nana
824507fffffffff,4.0,0.0,0.0
82450ffffffffff,9.0,6.0,0.0
824527fffffffff,62.0,6.0,0.0
82452ffffffffff,25.0,15.0,0.0
824537fffffffff,1.0,0.0,0.0
824577fffffffff,7.0,7.0,0.0
8245b7fffffffff,499.0,0.0,496.0
824997fffffffff,5.0,0.0,0.0
82499ffffffffff,2.0,0.0,0.0
824cd7fffffffff,2.0,0.0,0.0
8266b7fffffffff,5.0,2.0,0.0
826727fffffffff,1.0,0.0,0.0
826737fffffffff,260.0,0.0,260.0
826797fffffffff,1.0,0.0,0.0
82679ffffffffff,28.0,4.0,0.0
826d27fffffffff,58.0,56.0,0.0
826d2ffffffffff,8.0,8.0,0.0
826d37fffffffff,7.0,3.0,0.0
826d67fffffffff,4.0,0.0,0.0
826d6ffffffffff,28.0,14.0,0.0
