cell_id,Elminia albiventris,Elminia albiventris albiventris,Elminia albiventris toroensis
8358d0fffffffff,2.0,0.0,0.0
8358d1fffffffff,4.0,0.0,0.0
8358d3fffffffff,24.0,21.0,0.0
8358dcfffffffff,4.0,0.0,0.0
836ac5fffffffff,2.0,0.0,0.0
836adcfffffffff,148.0,0.0,0.0
836adefffffffff,65.0,0.0,0.0
837a48fffffffff,2.0,0.0,0.0
8382d0fffffffff,21.0,13.0,0.0
8382d1fffffffff,7.0,4.0,0.0
8382d2fffffffff,9.0,1.0,0.0
8382d3fffffffff,38.0,19.0,0.0
8396d2fffffffff,3.0,0.0,0.0
