cell_id,Pterocles lichtensteinii,Pterocles lichtensteinii [lichtensteinii Group],Pterocles lichtensteinii arabicus
823e6ffffffffff,456.0,23.0,0.0
8242e7fffffffff,10.0,0.0,0.0
82438ffffffffff,35.0,0.0,0.0
82439ffffffffff,4.0,0.0,0.0
8243affffffffff,834.0,0.0,0.0
825207fffffffff,1.0,0.0,0.0
82521ffffffffff,2.0,0.0,0.0
825237fffffffff,1.0,0.0,0.0
82524ffffffffff,18.0,0.0,0.0
825287fffffffff,2.0,0.0,0.0
82528ffffffffff,10.0,0.0,0.0
8252d7fffffffff,52.0,0.0,0.0
8252dffffffffff,4.0,0.0,0.0
825317fffffffff,1.0,0.0,0.0
826337fffffffff,40.0,0.0,0.0
8263affffffffff,14.0,1.0,0.0
826a5ffffffffff,9.0,0.0,0.0
827a47fffffffff,153.0,0.0,0.0
827a4ffffffffff,10.0,2.0,0.0
827a57fffffffff,2.0,0.0,0.0
827a5ffffffffff,1.0,0.0,0.0
827adffffffffff,60.0,0.0,0.0
