cell_id,Psophodes nigrogularis,Psophodes nigrogularis nigrogularis/oberon,Psophodes nigrogularis leucogaster/lashmari
84b9111ffffffff,8.0,0.0,8.0
84b9113ffffffff,2.0,0.0,1.0
84b9119ffffffff,22.0,0.0,4.0
84b9149ffffffff,4.0,0.0,0.0
84b914bffffffff,11.0,0.0,2.0
84b9155ffffffff,37.0,0.0,7.0
84b9159ffffffff,16.0,0.0,3.0
84b915dffffffff,5.0,0.0,0.0
84c9865ffffffff,15.0,9.0,0.0
84c9869ffffffff,28.0,8.0,0.0
84c986dffffffff,2.0,0.0,0.0
84c9b03ffffffff,11.0,3.0,0.0
84c9b05ffffffff,1.0,0.0,0.0
84c9b07ffffffff,9.0,1.0,0.0
84c9b17ffffffff,363.0,126.0,0.0
84c9b2bffffffff,1.0,0.0,0.0
84c9b31ffffffff,58.0,19.0,0.0
84c9b33ffffffff,68.0,17.0,0.0
84c9b39ffffffff,6.0,0.0,0.0
84c9b3bffffffff,1.0,1.0,0.0
84c9b3dffffffff,26.0,6.0,0.0
84c9b63ffffffff,9.0,4.0,0.0
