cell_id,Cinnyris ludovicensis,Cinnyris ludovicensis ludovicensis,Cinnyris ludovicensis whytei/skye
8483125ffffffff,1.0,0.0,0.0
8483151ffffffff,4.0,2.0,0.0
848320dffffffff,2.0,0.0,0.0
8483263ffffffff,28.0,9.0,0.0
8483307ffffffff,1.0,0.0,0.0
848332bffffffff,3.0,3.0,0.0
8483331ffffffff,1.0,1.0,0.0
8483335ffffffff,2.0,0.0,0.0
8483337ffffffff,11.0,7.0,0.0
848333dffffffff,18.0,5.0,0.0
8483361ffffffff,3.0,0.0,0.0
8483ac3ffffffff,2.0,1.0,0.0
8496a4bffffffff,1.0,0.0,0.0
8496a59ffffffff,3.0,0.0,0.0
8496a5dffffffff,45.0,0.0,2.0
8497895ffffffff,1.0,0.0,0.0
84978b9ffffffff,1.0,0.0,0.0
8497ab1ffffffff,2.0,0.0,0.0
8497ab3ffffffff,1.0,0.0,0.0
