cell_id,Psophia viridis,Psophia viridis viridis,Psophia viridis dextralis,Psophia viridis interjecta,Psophia viridis obscura
828067fffffffff,4.0,0.0,2.0,2.0,0.0
82806ffffffffff,1.0,0.0,0.0,0.0,0.0
828077fffffffff,4.0,0.0,0.0,0.0,4.0
828147fffffffff,2.0,0.0,0.0,2.0,0.0
82814ffffffffff,59.0,0.0,0.0,47.0,0.0
82815ffffffffff,1.0,0.0,0.0,1.0,0.0
828a07fffffffff,3.0,0.0,0.0,0.0,0.0
828a17fffffffff,17.0,0.0,0.0,0.0,0.0
828a37fffffffff,2.0,0.0,0.0,0.0,0.0
828a87fffffffff,30.0,0.0,1.0,0.0,0.0
828a97fffffffff,3.0,0.0,3.0,0.0,0.0
828a9ffffffffff,5.0,0.0,5.0,0.0,0.0
828aa7fffffffff,1.0,0.0,0.0,0.0,0.0
828aaffffffffff,6.0,0.0,0.0,0.0,0.0
828b87fffffffff,1.0,0.0,0.0,0.0,0.0
828b8ffffffffff,3.0,0.0,0.0,0.0,0.0
828b9ffffffffff,195.0,0.0,5.0,0.0,0.0
82a8cffffffffff,1.0,0.0,0.0,0.0,0.0
