cell_id,Gallirallus woodfordi,Gallirallus woodfordi tertius,Gallirallus woodfordi immaculatus,Gallirallus woodfordi woodfordi
8476801ffffffff,1.0,0.0,0.0,0.0
8476809ffffffff,7.0,0.0,0.0,0.0
847680dffffffff,2.0,0.0,0.0,0.0
8476841ffffffff,1.0,0.0,0.0,0.0
8476845ffffffff,1.0,0.0,0.0,0.0
847684dffffffff,2.0,0.0,0.0,0.0
84768edffffffff,1.0,0.0,0.0,0.0
849ed13ffffffff,1.0,0.0,0.0,1.0
849ed33ffffffff,1.0,0.0,0.0,0.0
849eda7ffffffff,13.0,0.0,0.0,0.0
849edc5ffffffff,1.0,0.0,0.0,0.0
849edebffffffff,10.0,0.0,0.0,3.0
