cell_id,Icterus pustulatus,Icterus pustulatus [pustulatus Group],Icterus pustulatus [sclateri Group],Icterus pustulatus graysonii
824527fffffffff,2025.0,0.0,145.0,0.0
824537fffffffff,21.0,0.0,0.0,0.0
824807fffffffff,789.0,25.0,0.0,0.0
82480ffffffffff,1603.0,8.0,0.0,0.0
824817fffffffff,119.0,8.0,0.0,0.0
82481ffffffffff,27.0,0.0,0.0,0.0
824837fffffffff,10559.0,1030.0,0.0,32.0
824857fffffffff,23.0,0.0,0.0,0.0
8248e7fffffffff,158.0,0.0,0.0,0.0
8248effffffffff,17.0,0.0,0.0,0.0
824987fffffffff,574.0,108.0,0.0,0.0
82498ffffffffff,87.0,0.0,0.0,0.0
824997fffffffff,268.0,5.0,0.0,0.0
8249a7fffffffff,204.0,13.0,0.0,0.0
8249affffffffff,6699.0,451.0,5.0,0.0
8249b7fffffffff,2330.0,54.0,0.0,0.0
8266b7fffffffff,4.0,0.0,0.0,0.0
826797fffffffff,2.0,0.0,0.0,0.0
826d07fffffffff,1038.0,0.0,77.0,0.0
826d17fffffffff,1307.0,0.0,0.0,0.0
826d27fffffffff,1034.0,0.0,72.0,0.0
826d2ffffffffff,906.0,0.0,241.0,0.0
826d37fffffffff,1637.0,0.0,0.0,0.0
826d67fffffffff,5824.0,0.0,0.0,0.0
826d6ffffffffff,7908.0,0.0,154.0,0.0
826d77fffffffff,2914.0,0.0,23.0,0.0
