cell_id,Lamprotornis chloropterus,Lamprotornis chloropterus chloropterus,Lamprotornis chloropterus elisabeth
845280dffffffff,2.0,0.0,0.0
8452831ffffffff,2.0,0.0,0.0
8452851ffffffff,2.0,0.0,0.0
845285dffffffff,2.0,0.0,0.0
8452987ffffffff,2.0,1.0,0.0
845299bffffffff,1.0,0.0,0.0
84529b5ffffffff,7.0,0.0,0.0
84529b9ffffffff,25.0,14.0,0.0
84529bbffffffff,3.0,0.0,0.0
84529bdffffffff,2.0,0.0,0.0
8452b1dffffffff,1.0,0.0,0.0
845402dffffffff,1.0,1.0,0.0
8454197ffffffff,3.0,0.0,0.0
8454199ffffffff,2.0,0.0,0.0
845419bffffffff,4.0,2.0,0.0
84541a3ffffffff,67.0,12.0,0.0
84541a5ffffffff,49.0,7.0,0.0
84541a7ffffffff,1.0,0.0,0.0
84541a9ffffffff,6.0,0.0,0.0
84541adffffffff,4.0,0.0,0.0
84541b5ffffffff,3.0,2.0,0.0
84541b9ffffffff,34.0,3.0,0.0
84541bbffffffff,11.0,0.0,0.0
84541bdffffffff,11.0,2.0,0.0
84541e7ffffffff,5.0,0.0,0.0
8454443ffffffff,2.0,0.0,0.0
8454a93ffffffff,92.0,10.0,0.0
8454a9bffffffff,54.0,15.0,0.0
8454ad3ffffffff,5.0,0.0,0.0
8454ad5ffffffff,3.0,0.0,0.0
8454adbffffffff,2.0,0.0,0.0
8454addffffffff,4.0,2.0,0.0
8454c55ffffffff,2.0,0.0,0.0
8454e07ffffffff,1.0,0.0,0.0
8454e41ffffffff,3.0,0.0,0.0
8454e4bffffffff,1.0,0.0,0.0
8454e4dffffffff,7.0,4.0,0.0
8454e51ffffffff,6.0,0.0,0.0
8454e59ffffffff,1.0,0.0,0.0
8454e5dffffffff,2.0,0.0,0.0
8454f43ffffffff,2.0,2.0,0.0
8454f47ffffffff,2.0,2.0,0.0
8454f49ffffffff,31.0,5.0,0.0
8454f4dffffffff,22.0,5.0,0.0
8454f51ffffffff,1.0,0.0,0.0
8454f59ffffffff,3.0,3.0,0.0
8458517ffffffff,1.0,0.0,0.0
8458587ffffffff,1.0,0.0,0.0
8458969ffffffff,11.0,3.0,0.0
8458a65ffffffff,2.0,0.0,0.0
8458c8bffffffff,6.0,2.0,0.0
8458cd9ffffffff,1.0,1.0,0.0
8458e2dffffffff,28.0,18.0,0.0
8458e39ffffffff,1.0,1.0,0.0
8458e67ffffffff,1.0,0.0,0.0
8458f5bffffffff,6.0,1.0,0.0
8459827ffffffff,2.0,0.0,0.0
8459933ffffffff,2.0,0.0,0.0
8459985ffffffff,2.0,1.0,0.0
84599e5ffffffff,7.0,2.0,0.0
84599e7ffffffff,2.0,0.0,0.0
846a459ffffffff,13.0,0.0,0.0
846a495ffffffff,4.0,0.0,0.0
846a4a3ffffffff,2.0,0.0,0.0
846a4b3ffffffff,2.0,0.0,0.0
846a5a1ffffffff,2.0,0.0,0.0
846a5a9ffffffff,50.0,1.0,0.0
846a5abffffffff,1.0,0.0,0.0
846a5adffffffff,2.0,0.0,0.0
