cell_id,Sclerurus albigularis,Sclerurus albigularis canigularis,Sclerurus albigularis [albigularis Group]
835f48fffffffff,2.0,0.0,0.0
835f4afffffffff,1.0,0.0,0.0
835f4bfffffffff,5.0,0.0,0.0
835f58fffffffff,271.0,0.0,0.0
835f5bfffffffff,18.0,0.0,0.0
83660cfffffffff,2.0,0.0,0.0
83660dfffffffff,1.0,0.0,0.0
836620fffffffff,863.0,0.0,0.0
836622fffffffff,4.0,0.0,0.0
8366b4fffffffff,20.0,0.0,0.0
8366c2fffffffff,2.0,0.0,0.0
8366d1fffffffff,3.0,0.0,0.0
8366defffffffff,41.0,0.0,0.0
8366e3fffffffff,2.0,0.0,0.0
8366e5fffffffff,2.0,0.0,0.0
836741fffffffff,2.0,0.0,0.0
836742fffffffff,6.0,0.0,0.0
836743fffffffff,103.0,0.0,0.0
83674cfffffffff,5.0,0.0,0.0
83674efffffffff,11.0,0.0,0.0
836751fffffffff,12.0,0.0,0.0
83675cfffffffff,35.0,0.0,0.0
836d68fffffffff,45.0,0.0,0.0
836d69fffffffff,749.0,0.0,0.0
838b20fffffffff,1.0,0.0,0.0
838b21fffffffff,4.0,0.0,0.0
838b22fffffffff,41.0,0.0,0.0
838b4efffffffff,2.0,0.0,0.0
838b74fffffffff,25.0,0.0,0.0
838f40fffffffff,1.0,0.0,0.0
838f43fffffffff,38.0,0.0,0.0
838f46fffffffff,1.0,0.0,0.0
838f54fffffffff,1.0,0.0,0.0
