cell_id,Eurillas curvirostris,Eurillas curvirostris leonina,Eurillas curvirostris curvirostris
825887fffffffff,1.0,0.0,0.0
825897fffffffff,3.0,0.0,0.0
8258d7fffffffff,4.0,0.0,0.0
8258dffffffffff,1.0,0.0,0.0
826a9ffffffffff,8.0,0.0,0.0
826ac7fffffffff,245.0,0.0,28.0
826acffffffffff,49.0,0.0,16.0
826adffffffffff,467.0,0.0,30.0
826aeffffffffff,97.0,0.0,4.0
82750ffffffffff,228.0,0.0,0.0
82751ffffffffff,3.0,0.0,0.0
82752ffffffffff,122.0,0.0,0.0
827587fffffffff,1.0,0.0,0.0
8275a7fffffffff,2.0,0.0,0.0
8275affffffffff,1.0,0.0,0.0
8275b7fffffffff,1.0,0.0,0.0
827a4ffffffffff,184.0,0.0,0.0
827a6ffffffffff,8.0,0.0,0.0
828287fffffffff,6.0,0.0,0.0
82828ffffffffff,75.0,0.0,0.0
828297fffffffff,2.0,0.0,0.0
8282a7fffffffff,5.0,0.0,0.0
8282affffffffff,14.0,0.0,0.0
8282d7fffffffff,18.0,0.0,10.0
8282f7fffffffff,2.0,0.0,0.0
828317fffffffff,2.0,0.0,0.0
82839ffffffffff,8.0,0.0,0.0
8283affffffffff,12.0,0.0,1.0
82968ffffffffff,1.0,0.0,0.0
