cell_id,Malaconotus monteiri,Malaconotus monteiri perspicillatus,Malaconotus monteiri monteiri
838311fffffffff,19.0,0.0,1.0
838313fffffffff,1.0,0.0,0.0
838315fffffffff,17.0,0.0,3.0
83831efffffffff,4.0,0.0,0.0
8383adfffffffff,10.0,0.0,0.0
