cell_id,Podiceps occipitalis,Podiceps occipitalis juninensis,Podiceps occipitalis occipitalis
8366c2fffffffff,9.0,0.0,0.0
8366d3fffffffff,32.0,0.0,0.0
8366defffffffff,1096.0,301.0,0.0
838b21fffffffff,11.0,0.0,0.0
838b26fffffffff,2.0,0.0,0.0
838b2cfffffffff,109.0,12.0,0.0
838b60fffffffff,10.0,0.0,0.0
838b61fffffffff,506.0,11.0,0.0
838b64fffffffff,11.0,0.0,0.0
838b65fffffffff,1.0,0.0,0.0
838b66fffffffff,9.0,0.0,0.0
838b6cfffffffff,5.0,0.0,0.0
838b75fffffffff,1.0,0.0,0.0
838e60fffffffff,67.0,0.0,0.0
838e61fffffffff,5.0,0.0,0.0
838e62fffffffff,17.0,0.0,0.0
838e64fffffffff,84.0,0.0,0.0
838e65fffffffff,5.0,0.0,0.0
838e66fffffffff,161.0,0.0,0.0
838e68fffffffff,11.0,0.0,0.0
838e69fffffffff,1.0,0.0,0.0
838e6afffffffff,2.0,0.0,0.0
838e6bfffffffff,1.0,0.0,0.0
838e6cfffffffff,14.0,0.0,0.0
838e6dfffffffff,6.0,0.0,0.0
838e6efffffffff,3.0,0.0,0.0
838e75fffffffff,2.0,0.0,0.0
838f29fffffffff,91.0,37.0,0.0
838f2dfffffffff,6.0,0.0,0.0
838f42fffffffff,2.0,0.0,0.0
838f51fffffffff,24.0,0.0,0.0
838f55fffffffff,4.0,0.0,0.0
838f58fffffffff,52.0,0.0,0.0
838f59fffffffff,8.0,0.0,0.0
838f5bfffffffff,53.0,0.0,0.0
838f5cfffffffff,2.0,0.0,0.0
838f76fffffffff,8.0,0.0,0.0
83a865fffffffff,2.0,0.0,0.0
83a949fffffffff,1.0,0.0,0.0
83b200fffffffff,37.0,0.0,0.0
83b201fffffffff,3.0,0.0,0.0
83b203fffffffff,16.0,0.0,0.0
83b204fffffffff,2.0,0.0,0.0
83b205fffffffff,4.0,0.0,0.0
83b20afffffffff,8.0,0.0,0.0
83b20cfffffffff,4.0,0.0,0.0
83b20efffffffff,1.0,0.0,0.0
83b219fffffffff,652.0,0.0,44.0
83b21bfffffffff,82.0,0.0,8.0
83b21dfffffffff,20.0,0.0,0.0
83b226fffffffff,60.0,5.0,0.0
83b228fffffffff,12.0,4.0,0.0
83b22afffffffff,7.0,2.0,0.0
83b22bfffffffff,17.0,0.0,0.0
83b22dfffffffff,6.0,3.0,0.0
83b241fffffffff,98.0,0.0,0.0
83b242fffffffff,6.0,0.0,0.0
83b24afffffffff,29.0,0.0,0.0
83b24bfffffffff,7.0,0.0,0.0
83b24cfffffffff,3.0,0.0,0.0
83b24efffffffff,13.0,0.0,0.0
83b250fffffffff,2.0,0.0,0.0
83b252fffffffff,2.0,0.0,0.0
