cell_id,Pheucticus chrysopeplus,Pheucticus chrysopeplus chrysopeplus/dilutus,Pheucticus chrysopeplus aurantiacus
82268ffffffffff,106.0,0.0,0.0
824527fffffffff,26.0,0.0,9.0
82480ffffffffff,4.0,1.0,0.0
824817fffffffff,1.0,1.0,0.0
824837fffffffff,12.0,12.0,0.0
824887fffffffff,90.0,5.0,0.0
8248c7fffffffff,4.0,0.0,0.0
8248d7fffffffff,1.0,0.0,0.0
8248dffffffffff,8.0,0.0,0.0
8248e7fffffffff,2.0,2.0,0.0
8248effffffffff,18.0,4.0,0.0
824987fffffffff,2.0,2.0,0.0
8249a7fffffffff,4.0,0.0,0.0
8249affffffffff,7.0,3.0,0.0
8249b7fffffffff,5.0,5.0,0.0
826d27fffffffff,6.0,0.0,3.0
826d2ffffffffff,82.0,0.0,26.0
826d37fffffffff,12.0,0.0,0.0
