cell_id,Edolisoma remotum,Edolisoma remotum matthiae,Edolisoma remotum remotum,Edolisoma remotum rooki,Edolisoma remotum heinrothi
837795fffffffff,1.0,0.0,0.0,0.0,0.0
837798fffffffff,2.0,0.0,0.0,0.0,0.0
839c90fffffffff,3.0,0.0,0.0,0.0,0.0
