cell_id,Crypturellus obsoletus,Crypturellus obsoletus castaneus,Crypturellus obsoletus [obsoletus Group]
8466291ffffffff,4.0,0.0,0.0
846629dffffffff,2.0,0.0,0.0
8467413ffffffff,15.0,0.0,0.0
8467425ffffffff,3.0,0.0,0.0
8467427ffffffff,4.0,0.0,0.0
8467437ffffffff,1.0,0.0,0.0
846743bffffffff,5.0,0.0,0.0
84674edffffffff,4.0,0.0,0.0
8467519ffffffff,17.0,0.0,0.0
84675a9ffffffff,1.0,0.0,0.0
84675c7ffffffff,3.0,0.0,0.0
84675c9ffffffff,3.0,0.0,0.0
84675e3ffffffff,6.0,0.0,0.0
84675ebffffffff,15.0,0.0,0.0
848112dffffffff,2.0,0.0,0.0
8481167ffffffff,8.0,0.0,0.0
8481211ffffffff,1.0,0.0,0.0
8481303ffffffff,9.0,0.0,2.0
8481307ffffffff,10.0,0.0,0.0
8481321ffffffff,2.0,0.0,0.0
8481331ffffffff,1.0,0.0,0.0
8481339ffffffff,87.0,0.0,0.0
8481341ffffffff,1.0,0.0,0.0
8481343ffffffff,7.0,0.0,0.0
848134dffffffff,4.0,0.0,0.0
8481363ffffffff,100.0,0.0,0.0
848a317ffffffff,2.0,0.0,1.0
848b0cdffffffff,2.0,0.0,0.0
848b203ffffffff,38.0,0.0,0.0
848b205ffffffff,20.0,0.0,0.0
848b20dffffffff,3.0,0.0,0.0
848b213ffffffff,1.0,0.0,0.0
848b21dffffffff,4.0,0.0,0.0
848b229ffffffff,162.0,0.0,0.0
848b23dffffffff,1.0,0.0,0.0
848b2c1ffffffff,6.0,0.0,0.0
848b2c5ffffffff,30.0,0.0,0.0
848b2c7ffffffff,4.0,0.0,0.0
848b2cdffffffff,31.0,0.0,0.0
848b2d9ffffffff,2.0,0.0,0.0
848b2dbffffffff,17.0,0.0,0.0
848b2ddffffffff,1.0,0.0,0.0
848b401ffffffff,2.0,0.0,0.0
848b40dffffffff,20.0,0.0,0.0
848b445ffffffff,2.0,0.0,0.0
848b449ffffffff,4.0,0.0,0.0
848b44bffffffff,4.0,0.0,0.0
848b469ffffffff,18.0,0.0,0.0
848b46bffffffff,6.0,0.0,0.0
848b4e5ffffffff,14.0,0.0,0.0
848b513ffffffff,4.0,0.0,0.0
848b52dffffffff,2.0,0.0,0.0
848b5cdffffffff,9.0,0.0,0.0
848b611ffffffff,1.0,0.0,0.0
848b613ffffffff,19.0,0.0,0.0
848b615ffffffff,1.0,0.0,0.0
848b617ffffffff,603.0,0.0,0.0
848b623ffffffff,1.0,0.0,0.0
848b631ffffffff,1.0,0.0,0.0
848b635ffffffff,6.0,0.0,0.0
848b637ffffffff,16.0,0.0,0.0
848b63bffffffff,28.0,0.0,0.0
848b63dffffffff,1.0,0.0,0.0
848b69bffffffff,1.0,0.0,0.0
848b6c1ffffffff,5.0,0.0,0.0
848b6c5ffffffff,25.0,0.0,0.0
848b6c9ffffffff,3.0,0.0,0.0
848b6cbffffffff,6.0,0.0,0.0
848b6cdffffffff,121.0,0.0,0.0
848b6e5ffffffff,2.0,0.0,0.0
848b6e7ffffffff,4.0,0.0,0.0
848b6edffffffff,8.0,0.0,0.0
848b709ffffffff,26.0,0.0,0.0
848b713ffffffff,3.0,0.0,0.0
848b71bffffffff,9.0,0.0,0.0
848b747ffffffff,5.0,0.0,0.0
848b74bffffffff,6.0,0.0,0.0
848b751ffffffff,2.0,0.0,0.0
848b755ffffffff,2.0,0.0,0.0
848b757ffffffff,4.0,0.0,0.0
848b759ffffffff,10.0,0.0,0.0
848b75bffffffff,62.0,0.0,0.0
848b75dffffffff,5.0,0.0,0.0
848b99dffffffff,3.0,0.0,0.0
848b9d5ffffffff,1.0,0.0,0.0
848e619ffffffff,2.0,0.0,0.0
848e641ffffffff,206.0,0.0,0.0
848e643ffffffff,56.0,0.0,0.0
848e649ffffffff,142.0,0.0,0.0
848e64bffffffff,74.0,0.0,0.0
848e651ffffffff,11.0,0.0,0.0
848e65bffffffff,2.0,0.0,0.0
848f401ffffffff,3.0,0.0,0.0
848f421ffffffff,11.0,0.0,0.0
848f425ffffffff,14.0,0.0,0.0
848f427ffffffff,2.0,0.0,0.0
848f42dffffffff,8.0,0.0,0.0
848f437ffffffff,2.0,0.0,0.0
848f439ffffffff,5.0,0.0,0.0
848f461ffffffff,4.0,0.0,0.0
848f463ffffffff,10.0,0.0,0.0
848f465ffffffff,2.0,0.0,0.0
848f467ffffffff,19.0,0.0,0.0
848f4a1ffffffff,2.0,0.0,0.0
848f4a5ffffffff,31.0,0.0,0.0
848f4adffffffff,6.0,0.0,0.0
848f4b5ffffffff,1.0,0.0,0.0
848f4e5ffffffff,9.0,0.0,0.0
848f551ffffffff,2.0,0.0,0.0
848f559ffffffff,1.0,0.0,0.0
848f55bffffffff,2.0,0.0,0.0
848f5c3ffffffff,1.0,0.0,0.0
848f5cbffffffff,1.0,0.0,0.0
848f5d3ffffffff,4.0,0.0,0.0
848f5d7ffffffff,9.0,0.0,0.0
848f5d9ffffffff,8.0,0.0,0.0
848f5ddffffffff,15.0,0.0,0.0
848f733ffffffff,48.0,0.0,0.0
84a5969ffffffff,15.0,0.0,0.0
84a8001ffffffff,5.0,0.0,0.0
84a8009ffffffff,6.0,0.0,0.0
84a800dffffffff,6.0,0.0,0.0
84a8013ffffffff,2.0,0.0,0.0
84a8019ffffffff,15.0,0.0,0.0
84a801bffffffff,23.0,0.0,0.0
84a8049ffffffff,15.0,0.0,0.0
84a804bffffffff,3.0,0.0,0.0
84a804dffffffff,38.0,0.0,0.0
84a8057ffffffff,4.0,0.0,0.0
84a805dffffffff,17.0,0.0,0.0
84a8061ffffffff,72.0,0.0,18.0
84a8063ffffffff,9.0,0.0,0.0
