cell_id,Buteo augur,Buteo augur augur,Buteo augur archeri
825287fffffffff,2.0,2.0,0.0
82529ffffffffff,1.0,1.0,0.0
8252d7fffffffff,7.0,4.0,3.0
826a5ffffffffff,2.0,2.0,0.0
826adffffffffff,2.0,0.0,0.0
827a47fffffffff,1.0,1.0,0.0
827a4ffffffffff,3.0,3.0,0.0
827a5ffffffffff,4.0,4.0,0.0
827a67fffffffff,1.0,1.0,0.0
827a6ffffffffff,7.0,7.0,0.0
827acffffffffff,3.0,3.0,0.0
827b5ffffffffff,4.0,4.0,0.0
829707fffffffff,15.0,15.0,0.0
82978ffffffffff,2.0,2.0,0.0
82ac97fffffffff,1.0,1.0,0.0
82acb7fffffffff,2.0,2.0,0.0
