cell_id,Elaenia fallax,Elaenia fallax fallax,Elaenia fallax cherriei
8245b7fffffffff,43.0,1.0,0.0
824c8ffffffffff,7.0,0.0,0.0
824cd7fffffffff,399.0,0.0,85.0
826727fffffffff,390.0,0.0,80.0
826737fffffffff,212.0,27.0,0.0
