cell_id,Dendropicos elliotii,Dendropicos elliotii elliotii,Dendropicos elliotii johnstoni
8358d0fffffffff,1.0,0.0,0.0
8358d1fffffffff,5.0,1.0,0.0
8358d3fffffffff,18.0,0.0,14.0
836ac0fffffffff,2.0,0.0,0.0
836ac1fffffffff,27.0,0.0,0.0
836ac3fffffffff,2.0,0.0,0.0
836adcfffffffff,407.0,46.0,0.0
836adefffffffff,58.0,0.0,0.0
836ae8fffffffff,1.0,0.0,0.0
838212fffffffff,2.0,0.0,0.0
838288fffffffff,1.0,0.0,0.0
83828dfffffffff,18.0,0.0,0.0
838290fffffffff,1.0,0.0,0.0
8382a0fffffffff,3.0,0.0,0.0
8382d0fffffffff,3.0,0.0,2.0
8382d2fffffffff,6.0,0.0,5.0
8382d3fffffffff,21.0,0.0,12.0
838315fffffffff,1.0,0.0,0.0
8383acfffffffff,3.0,0.0,0.0
