cell_id,Pachyramphus major,Pachyramphus major uropygialis,Pachyramphus major [major Group]
8445019ffffffff,20.0,0.0,0.0
844505bffffffff,5.0,0.0,0.0
8445215ffffffff,12.0,0.0,0.0
8445217ffffffff,2.0,0.0,0.0
8445233ffffffff,3.0,0.0,0.0
8445243ffffffff,5.0,0.0,0.0
8445247ffffffff,18.0,0.0,0.0
8445261ffffffff,1.0,0.0,0.0
8445269ffffffff,2.0,0.0,0.0
84452a5ffffffff,3.0,0.0,0.0
84452a9ffffffff,8.0,0.0,0.0
84452adffffffff,1.0,0.0,0.0
84452e1ffffffff,6.0,0.0,0.0
84452e3ffffffff,7.0,0.0,0.0
84452e5ffffffff,7.0,0.0,0.0
8445725ffffffff,2.0,0.0,0.0
8448199ffffffff,4.0,0.0,0.0
8448a21ffffffff,2.0,0.0,0.0
8448b3dffffffff,118.0,0.0,3.0
8449865ffffffff,4.0,0.0,0.0
8449913ffffffff,3.0,0.0,0.0
844994bffffffff,1.0,0.0,0.0
8449959ffffffff,7.0,0.0,0.0
84499cdffffffff,2.0,0.0,0.0
8449a23ffffffff,1.0,0.0,0.0
8449b2dffffffff,4.0,0.0,0.0
846d203ffffffff,4.0,0.0,0.0
846d21dffffffff,2.0,0.0,0.0
846d2b9ffffffff,5.0,0.0,0.0
846d2d7ffffffff,5.0,0.0,0.0
846d2e9ffffffff,2.0,0.0,0.0
846d315ffffffff,2.0,0.0,0.0
846d319ffffffff,9.0,0.0,9.0
846d31bffffffff,6.0,0.0,0.0
846d32bffffffff,2.0,0.0,0.0
846d337ffffffff,2.0,2.0,0.0
846d657ffffffff,2.0,0.0,0.0
846d749ffffffff,6.0,0.0,0.0
