cell_id,Botaurus minutus,Botaurus minutus minutus,Botaurus minutus payesii,Botaurus minutus podiceps
8410d2dffffffff,1.0,0.0,0.0,0.0
8411069ffffffff,3.0,0.0,0.0,0.0
841181dffffffff,6.0,0.0,0.0,0.0
8411853ffffffff,1.0,0.0,0.0,0.0
84118cdffffffff,20.0,0.0,0.0,0.0
84118e9ffffffff,2.0,0.0,0.0,0.0
8411913ffffffff,2.0,0.0,0.0,0.0
8411aa7ffffffff,18.0,0.0,0.0,0.0
8411ae3ffffffff,11.0,0.0,0.0,0.0
8418495ffffffff,61.0,0.0,0.0,0.0
84184b7ffffffff,2.0,0.0,0.0,0.0
84186c3ffffffff,10.0,0.0,0.0,0.0
84186cbffffffff,2.0,0.0,0.0,0.0
84194d3ffffffff,2.0,0.0,0.0,0.0
84194dbffffffff,1.0,0.0,0.0,0.0
841e021ffffffff,3.0,0.0,0.0,0.0
841e023ffffffff,40.0,9.0,0.0,0.0
841e025ffffffff,19.0,0.0,0.0,0.0
841e029ffffffff,6.0,0.0,0.0,0.0
841e02bffffffff,2.0,0.0,0.0,0.0
841e02dffffffff,15.0,0.0,0.0,0.0
841e035ffffffff,8.0,0.0,0.0,0.0
841e037ffffffff,9.0,0.0,0.0,0.0
841e041ffffffff,8.0,0.0,0.0,0.0
841e043ffffffff,9.0,0.0,0.0,0.0
841e045ffffffff,14.0,0.0,0.0,0.0
841e047ffffffff,31.0,0.0,0.0,0.0
841e049ffffffff,1.0,0.0,0.0,0.0
841e04bffffffff,4.0,0.0,0.0,0.0
841e051ffffffff,2.0,0.0,0.0,0.0
841e053ffffffff,3.0,0.0,0.0,0.0
841e059ffffffff,22.0,0.0,0.0,0.0
841e05bffffffff,24.0,0.0,0.0,0.0
841e05dffffffff,3.0,0.0,0.0,0.0
841e061ffffffff,31.0,0.0,0.0,0.0
841e063ffffffff,4.0,0.0,0.0,0.0
841e067ffffffff,21.0,0.0,0.0,0.0
841e069ffffffff,2.0,0.0,0.0,0.0
841e06bffffffff,14.0,0.0,0.0,0.0
841e06dffffffff,2.0,0.0,0.0,0.0
841e085ffffffff,78.0,0.0,0.0,0.0
841e089ffffffff,2.0,0.0,0.0,0.0
841e08bffffffff,3.0,0.0,0.0,0.0
841e08dffffffff,13.0,0.0,0.0,0.0
841e0a1ffffffff,2.0,2.0,0.0,0.0
841e0a9ffffffff,141.0,0.0,0.0,0.0
841e0adffffffff,2.0,0.0,0.0,0.0
841e0c3ffffffff,33.0,0.0,0.0,0.0
841e0c5ffffffff,2.0,0.0,0.0,0.0
841e0e1ffffffff,4.0,0.0,0.0,0.0
841e0e3ffffffff,14.0,0.0,0.0,0.0
841e0e7ffffffff,76.0,0.0,0.0,0.0
841e0e9ffffffff,8.0,0.0,0.0,0.0
841e0ebffffffff,20.0,0.0,0.0,0.0
841e0edffffffff,2.0,0.0,0.0,0.0
841e103ffffffff,2.0,0.0,0.0,0.0
841e11dffffffff,8.0,0.0,0.0,0.0
841e121ffffffff,5.0,0.0,0.0,0.0
841e123ffffffff,2.0,0.0,0.0,0.0
841e125ffffffff,18.0,0.0,0.0,0.0
841e129ffffffff,2.0,0.0,0.0,0.0
841e135ffffffff,7.0,0.0,0.0,0.0
841e137ffffffff,8.0,0.0,0.0,0.0
841e139ffffffff,14.0,0.0,0.0,0.0
841e13bffffffff,8.0,0.0,0.0,0.0
841e13dffffffff,6.0,0.0,0.0,0.0
841e153ffffffff,8.0,0.0,0.0,0.0
841e163ffffffff,6.0,0.0,0.0,0.0
841e185ffffffff,1.0,0.0,0.0,0.0
841e19dffffffff,9.0,2.0,0.0,0.0
841e1a9ffffffff,3.0,0.0,0.0,0.0
841e1b1ffffffff,7.0,0.0,0.0,0.0
841e1b3ffffffff,35.0,0.0,0.0,0.0
841e1b7ffffffff,2.0,0.0,0.0,0.0
841e1b9ffffffff,9.0,0.0,0.0,0.0
841e1bbffffffff,9.0,0.0,0.0,0.0
841e1c1ffffffff,2.0,0.0,0.0,0.0
841e1c3ffffffff,1.0,0.0,0.0,0.0
841e1c9ffffffff,2.0,0.0,0.0,0.0
841e1cbffffffff,18.0,0.0,0.0,0.0
841e1cdffffffff,2.0,0.0,0.0,0.0
841e1d1ffffffff,3.0,0.0,0.0,0.0
841e1d5ffffffff,8.0,0.0,0.0,0.0
841e1d7ffffffff,3.0,0.0,0.0,0.0
841e1d9ffffffff,1.0,0.0,0.0,0.0
841e1ddffffffff,37.0,0.0,0.0,0.0
841e201ffffffff,10.0,0.0,0.0,0.0
841e20dffffffff,2.0,0.0,0.0,0.0
841e219ffffffff,1.0,0.0,0.0,0.0
841e225ffffffff,4.0,0.0,0.0,0.0
841e233ffffffff,1.0,0.0,0.0,0.0
841e239ffffffff,1.0,0.0,0.0,0.0
841e23dffffffff,3.0,0.0,0.0,0.0
841e243ffffffff,6.0,0.0,0.0,0.0
841e247ffffffff,1.0,0.0,0.0,0.0
841e249ffffffff,1.0,0.0,0.0,0.0
841e24bffffffff,4.0,0.0,0.0,0.0
841e257ffffffff,1.0,0.0,0.0,0.0
841e263ffffffff,3.0,0.0,0.0,0.0
841e265ffffffff,2.0,0.0,0.0,0.0
841e281ffffffff,8.0,0.0,0.0,0.0
841e291ffffffff,2.0,0.0,0.0,0.0
841e29dffffffff,2.0,0.0,0.0,0.0
841e2a3ffffffff,2.0,0.0,0.0,0.0
841e2a9ffffffff,2.0,0.0,0.0,0.0
841e2abffffffff,1.0,0.0,0.0,0.0
841e2bbffffffff,3.0,0.0,0.0,0.0
841e2d5ffffffff,1.0,0.0,0.0,0.0
841e2e3ffffffff,4.0,0.0,0.0,0.0
841e2e5ffffffff,1.0,0.0,0.0,0.0
841e2e7ffffffff,7.0,0.0,0.0,0.0
841e307ffffffff,6.0,0.0,0.0,0.0
841e30dffffffff,3.0,0.0,0.0,0.0
841e313ffffffff,2.0,0.0,0.0,0.0
841e327ffffffff,3.0,0.0,0.0,0.0
841e339ffffffff,6.0,0.0,0.0,0.0
841e341ffffffff,1.0,0.0,0.0,0.0
841e34bffffffff,7.0,0.0,0.0,0.0
841e353ffffffff,2.0,0.0,0.0,0.0
841e355ffffffff,18.0,0.0,0.0,0.0
841e357ffffffff,17.0,0.0,0.0,0.0
841e367ffffffff,1.0,0.0,0.0,0.0
841e421ffffffff,2.0,0.0,0.0,0.0
841e425ffffffff,2.0,0.0,0.0,0.0
841e427ffffffff,1.0,0.0,0.0,0.0
841e42dffffffff,5.0,0.0,0.0,0.0
841e459ffffffff,1.0,0.0,0.0,0.0
841e4adffffffff,8.0,0.0,0.0,0.0
841e4d9ffffffff,3.0,0.0,0.0,0.0
841e517ffffffff,4.0,0.0,0.0,0.0
841e51bffffffff,20.0,0.0,0.0,0.0
841e529ffffffff,1.0,0.0,0.0,0.0
841e551ffffffff,2.0,0.0,0.0,0.0
841e565ffffffff,2.0,0.0,0.0,0.0
841e585ffffffff,1.0,0.0,0.0,0.0
841e58dffffffff,2.0,0.0,0.0,0.0
841e5a5ffffffff,1.0,0.0,0.0,0.0
841e5a9ffffffff,45.0,0.0,0.0,0.0
841e5adffffffff,6.0,0.0,0.0,0.0
841e5c1ffffffff,3.0,0.0,0.0,0.0
841e5c3ffffffff,8.0,0.0,0.0,0.0
841e5c9ffffffff,5.0,0.0,0.0,0.0
841e5cdffffffff,11.0,0.0,0.0,0.0
841e5d3ffffffff,2.0,0.0,0.0,0.0
841e5d5ffffffff,2.0,0.0,0.0,0.0
841e5d9ffffffff,4.0,0.0,0.0,0.0
841e5e3ffffffff,3.0,0.0,0.0,0.0
841e5e5ffffffff,8.0,0.0,0.0,0.0
841e5e7ffffffff,8.0,0.0,0.0,0.0
841e5e9ffffffff,8.0,0.0,0.0,0.0
841e5edffffffff,3.0,0.0,0.0,0.0
841e639ffffffff,7.0,0.0,0.0,0.0
841e63bffffffff,10.0,0.0,0.0,0.0
841e695ffffffff,2.0,0.0,0.0,0.0
841e697ffffffff,2.0,0.0,0.0,0.0
841e6b3ffffffff,5.0,0.0,0.0,0.0
841e6d9ffffffff,8.0,0.0,0.0,0.0
841e721ffffffff,2.0,0.0,0.0,0.0
841e75dffffffff,4.0,0.0,0.0,0.0
841e76bffffffff,2.0,0.0,0.0,0.0
841e76dffffffff,2.0,0.0,0.0,0.0
841e809ffffffff,1.0,0.0,0.0,0.0
841e80dffffffff,2.0,0.0,0.0,0.0
841e833ffffffff,8.0,0.0,0.0,0.0
841e845ffffffff,3.0,0.0,0.0,0.0
841e847ffffffff,1.0,0.0,0.0,0.0
841e863ffffffff,1.0,0.0,0.0,0.0
841e929ffffffff,2.0,0.0,0.0,0.0
841ea01ffffffff,11.0,0.0,0.0,0.0
841ea05ffffffff,4.0,0.0,0.0,0.0
841ea19ffffffff,12.0,0.0,0.0,0.0
841ea21ffffffff,4.0,0.0,0.0,0.0
841ea45ffffffff,3.0,0.0,0.0,0.0
841ea49ffffffff,4.0,0.0,0.0,0.0
841ea51ffffffff,1.0,0.0,0.0,0.0
841ea53ffffffff,7.0,0.0,0.0,0.0
841ea55ffffffff,1.0,0.0,0.0,0.0
841ea81ffffffff,2.0,0.0,0.0,0.0
841ea83ffffffff,2.0,0.0,0.0,0.0
841ea85ffffffff,12.0,0.0,0.0,0.0
841ea87ffffffff,8.0,0.0,0.0,0.0
841ea8dffffffff,1.0,0.0,0.0,0.0
841ea93ffffffff,2.0,0.0,0.0,0.0
841eacdffffffff,2.0,0.0,0.0,0.0
841ead9ffffffff,3.0,0.0,0.0,0.0
841eaebffffffff,2.0,0.0,0.0,0.0
841eb01ffffffff,2.0,0.0,0.0,0.0
841eb03ffffffff,2.0,0.0,0.0,0.0
841eb0bffffffff,7.0,0.0,0.0,0.0
841eb13ffffffff,4.0,0.0,0.0,0.0
841eb2bffffffff,2.0,0.0,0.0,0.0
841eb4dffffffff,16.0,0.0,0.0,0.0
841eb5bffffffff,1.0,0.0,0.0,0.0
841ec03ffffffff,12.0,0.0,0.0,0.0
841ec07ffffffff,1.0,0.0,0.0,0.0
841ec09ffffffff,40.0,0.0,0.0,0.0
841ec11ffffffff,2.0,0.0,0.0,0.0
841ec13ffffffff,3.0,0.0,0.0,0.0
841ec17ffffffff,1.0,1.0,0.0,0.0
841ec1dffffffff,45.0,3.0,0.0,0.0
841ec21ffffffff,34.0,0.0,0.0,0.0
841ec23ffffffff,12.0,0.0,0.0,0.0
841ec27ffffffff,10.0,0.0,0.0,0.0
841ec2bffffffff,6.0,0.0,0.0,0.0
841ec33ffffffff,4.0,0.0,0.0,0.0
841ec37ffffffff,1.0,0.0,0.0,0.0
841ec47ffffffff,99.0,3.0,0.0,0.0
841ec5dffffffff,2.0,0.0,0.0,0.0
841ec65ffffffff,4.0,0.0,0.0,0.0
841ec8bffffffff,2.0,0.0,0.0,0.0
841ec91ffffffff,15.0,0.0,0.0,0.0
841ec93ffffffff,5.0,0.0,0.0,0.0
841ec99ffffffff,9.0,0.0,0.0,0.0
841ec9bffffffff,37.0,0.0,0.0,0.0
841ec9dffffffff,9.0,0.0,0.0,0.0
841eca1ffffffff,4.0,0.0,0.0,0.0
841eca3ffffffff,3.0,0.0,0.0,0.0
841eca5ffffffff,16.0,0.0,0.0,0.0
841eca9ffffffff,14.0,0.0,0.0,0.0
841ecb1ffffffff,5.0,0.0,0.0,0.0
841ecb9ffffffff,2.0,0.0,0.0,0.0
841ecbbffffffff,21.0,0.0,0.0,0.0
841ecc5ffffffff,1.0,0.0,0.0,0.0
841ecc9ffffffff,2.0,0.0,0.0,0.0
841eccbffffffff,7.0,1.0,0.0,0.0
841ecd5ffffffff,20.0,0.0,0.0,0.0
841ecd7ffffffff,5.0,0.0,0.0,0.0
841ecddffffffff,2.0,0.0,0.0,0.0
841ece5ffffffff,6.0,0.0,0.0,0.0
841ed0bffffffff,28.0,0.0,0.0,0.0
841ed1bffffffff,17.0,0.0,0.0,0.0
841ed29ffffffff,4.0,0.0,0.0,0.0
841ed43ffffffff,1.0,0.0,0.0,0.0
