cell_id,Amazilia tzacatl,Amazilia tzacatl [tzacatl Group],Amazilia tzacatl handleyi
8445011ffffffff,6.0,0.0,0.0
8445013ffffffff,6.0,0.0,0.0
8445019ffffffff,112.0,1.0,0.0
844501bffffffff,19.0,0.0,0.0
8445053ffffffff,95.0,4.0,0.0
8445057ffffffff,4.0,0.0,0.0
8445059ffffffff,38.0,0.0,0.0
844505bffffffff,558.0,25.0,0.0
8445081ffffffff,6.0,0.0,0.0
8445085ffffffff,15.0,0.0,0.0
8445089ffffffff,5.0,0.0,0.0
844508dffffffff,22.0,0.0,0.0
84450a9ffffffff,18.0,0.0,0.0
84450c1ffffffff,10.0,3.0,0.0
84450c5ffffffff,45.0,0.0,0.0
84450cdffffffff,45.0,6.0,0.0
84450dbffffffff,1.0,0.0,0.0
84450e1ffffffff,2.0,0.0,0.0
84450e3ffffffff,24.0,0.0,0.0
84450ebffffffff,36.0,0.0,0.0
8445201ffffffff,5.0,0.0,0.0
8445203ffffffff,235.0,4.0,0.0
8445205ffffffff,97.0,0.0,0.0
8445207ffffffff,489.0,2.0,0.0
8445209ffffffff,5.0,0.0,0.0
844520bffffffff,89.0,0.0,0.0
844520dffffffff,620.0,0.0,0.0
8445211ffffffff,31.0,0.0,0.0
8445213ffffffff,527.0,0.0,0.0
8445215ffffffff,2421.0,50.0,0.0
8445217ffffffff,1008.0,15.0,0.0
8445219ffffffff,18.0,0.0,0.0
844521bffffffff,34.0,0.0,0.0
844521dffffffff,240.0,7.0,0.0
8445221ffffffff,499.0,0.0,0.0
8445223ffffffff,12.0,0.0,0.0
8445225ffffffff,2321.0,0.0,0.0
8445229ffffffff,5.0,0.0,0.0
844522bffffffff,256.0,0.0,0.0
844522dffffffff,18.0,0.0,0.0
8445231ffffffff,20.0,2.0,0.0
8445233ffffffff,2030.0,70.0,0.0
844523bffffffff,296.0,0.0,0.0
8445243ffffffff,1.0,0.0,0.0
8445251ffffffff,2.0,0.0,0.0
8445253ffffffff,36.0,0.0,0.0
8445255ffffffff,47.0,0.0,0.0
8445257ffffffff,167.0,14.0,0.0
8445263ffffffff,1777.0,0.0,0.0
8445267ffffffff,5.0,0.0,0.0
844526bffffffff,578.0,0.0,0.0
8445281ffffffff,1.0,0.0,0.0
8445285ffffffff,57.0,6.0,0.0
8445287ffffffff,25.0,2.0,0.0
8445289ffffffff,372.0,0.0,0.0
844528bffffffff,2.0,0.0,0.0
