cell_id,Corvus frugilegus,Corvus frugilegus frugilegus,Corvus frugilegus pastinator
820767fffffffff,4.0,0.0,0.0
820777fffffffff,2.0,0.0,0.0
82089ffffffffff,4.0,0.0,0.0
821597fffffffff,20.0,0.0,0.0
821847fffffffff,2.0,0.0,0.0
82184ffffffffff,2.0,0.0,0.0
82185ffffffffff,1.0,0.0,0.0
821867fffffffff,1.0,0.0,0.0
82186ffffffffff,3.0,0.0,0.0
82190ffffffffff,1.0,0.0,0.0
821947fffffffff,4.0,0.0,0.0
82194ffffffffff,10.0,0.0,0.0
82196ffffffffff,3.0,0.0,0.0
821e0ffffffffff,2.0,0.0,0.0
821e17fffffffff,2.0,0.0,0.0
821e1ffffffffff,1.0,0.0,0.0
821e47fffffffff,14.0,0.0,0.0
821e57fffffffff,2.0,0.0,0.0
821e5ffffffffff,41.0,0.0,0.0
821e6ffffffffff,2.0,0.0,0.0
821e77fffffffff,2.0,0.0,0.0
821ec7fffffffff,22.0,0.0,0.0
821ecffffffffff,9.0,0.0,0.0
821eeffffffffff,1.0,0.0,0.0
821f1ffffffffff,4.0,0.0,0.0
821f27fffffffff,1.0,0.0,0.0
821f37fffffffff,3.0,0.0,0.0
821f77fffffffff,2.0,0.0,0.0
821f87fffffffff,4.0,0.0,0.0
821f8ffffffffff,10.0,0.0,0.0
82201ffffffffff,8.0,0.0,0.0
822037fffffffff,7.0,0.0,0.0
82204ffffffffff,4.0,0.0,0.0
82205ffffffffff,2.0,0.0,0.0
8220a7fffffffff,1.0,0.0,0.0
8220e7fffffffff,2.0,0.0,0.0
8220f7fffffffff,1.0,0.0,0.0
822157fffffffff,4.0,0.0,0.0
822447fffffffff,3.0,0.0,0.0
822467fffffffff,69.0,0.0,0.0
822477fffffffff,4.0,0.0,0.0
82255ffffffffff,13.0,0.0,0.0
822c07fffffffff,6.0,0.0,0.0
822c0ffffffffff,25.0,0.0,0.0
822c37fffffffff,4.0,0.0,0.0
822c4ffffffffff,13.0,0.0,0.0
822c57fffffffff,7.0,0.0,0.0
822ce7fffffffff,12.0,0.0,0.0
822d37fffffffff,4.0,0.0,0.0
822d67fffffffff,1.0,0.0,0.0
822db7fffffffff,5.0,0.0,0.0
822f5ffffffffff,7.0,0.0,0.0
82309ffffffffff,5.0,0.0,0.0
823917fffffffff,2.0,0.0,0.0
82391ffffffffff,22.0,0.0,0.0
82392ffffffffff,35.0,0.0,0.0
823947fffffffff,17.0,0.0,0.0
823d07fffffffff,23.0,0.0,0.0
823d37fffffffff,22.0,0.0,0.0
82411ffffffffff,10.0,0.0,0.0
82419ffffffffff,5.0,0.0,0.0
82426ffffffffff,5.0,0.0,0.0
824367fffffffff,1.0,0.0,0.0
824a27fffffffff,1.0,0.0,0.0
824b77fffffffff,4.0,0.0,0.0
824b9ffffffffff,1.0,0.0,1.0
824ba7fffffffff,5.0,0.0,0.0
82bb0ffffffffff,31.0,0.0,0.0
82bb2ffffffffff,2.0,0.0,0.0
82bb57fffffffff,11.0,0.0,0.0
82bb77fffffffff,2.0,0.0,0.0
82da97fffffffff,2.0,0.0,0.0
82dab7fffffffff,2.0,0.0,0.0
