cell_id,Cacicus uropygialis,Cacicus uropygialis microrhynchus,Cacicus uropygialis pacificus,Cacicus uropygialis uropygialis
82660ffffffffff,7.0,0.0,0.0,0.0
826617fffffffff,6.0,5.0,1.0,0.0
82661ffffffffff,3.0,0.0,2.0,1.0
82662ffffffffff,3.0,0.0,0.0,0.0
8266a7fffffffff,17.0,1.0,0.0,0.0
8266b7fffffffff,10.0,4.0,0.0,0.0
8266c7fffffffff,1.0,0.0,0.0,1.0
8266d7fffffffff,14.0,0.0,6.0,0.0
8266dffffffffff,14.0,0.0,0.0,8.0
8266e7fffffffff,2.0,0.0,0.0,0.0
8266f7fffffffff,7.0,0.0,0.0,0.0
82679ffffffffff,7.0,0.0,0.0,0.0
826d6ffffffffff,30.0,13.0,0.0,0.0
828b6ffffffffff,2.0,0.0,0.0,0.0
828f0ffffffffff,1.0,0.0,1.0,0.0
828f2ffffffffff,2.0,0.0,0.0,0.0
828f4ffffffffff,5.0,0.0,0.0,0.0
828f77fffffffff,2.0,0.0,0.0,1.0
