cell_id,Fregetta grallaria,Fregetta grallaria [grallaria Group],Fregetta grallaria titan
827d77fffffffff,1.0,0.0,0.0
8298f7fffffffff,1.0,0.0,0.0
8299affffffffff,1.0,0.0,0.0
82a05ffffffffff,1.0,0.0,0.0
82a117fffffffff,1.0,0.0,0.0
82a16ffffffffff,4.0,2.0,2.0
82a987fffffffff,1.0,1.0,0.0
82ad37fffffffff,1.0,0.0,0.0
82b21ffffffffff,5.0,0.0,0.0
82b237fffffffff,36.0,0.0,0.0
82b287fffffffff,1.0,0.0,0.0
82b28ffffffffff,4.0,0.0,0.0
82b29ffffffffff,2.0,0.0,0.0
82b2d7fffffffff,2.0,0.0,0.0
82b2dffffffffff,3.0,0.0,0.0
82b397fffffffff,1.0,0.0,0.0
82b39ffffffffff,1.0,0.0,0.0
82b3affffffffff,5.0,0.0,0.0
82b597fffffffff,2.0,0.0,2.0
82b667fffffffff,1.0,0.0,0.0
82ba07fffffffff,36.0,0.0,0.0
82ba1ffffffffff,25.0,0.0,0.0
82ba2ffffffffff,1.0,0.0,0.0
82bb0ffffffffff,1.0,0.0,0.0
82bb5ffffffffff,1.0,0.0,0.0
82bd27fffffffff,1.0,0.0,0.0
82bd67fffffffff,6.0,2.0,0.0
82be0ffffffffff,4.0,0.0,0.0
82be1ffffffffff,1.0,0.0,0.0
82be8ffffffffff,23.0,0.0,0.0
82beaffffffffff,30.0,0.0,0.0
82c00ffffffffff,1.0,0.0,0.0
82c01ffffffffff,6.0,0.0,0.0
82c047fffffffff,1.0,0.0,0.0
82c08ffffffffff,3.0,1.0,0.0
82c0affffffffff,1.0,0.0,0.0
82c0e7fffffffff,5.0,0.0,0.0
82c28ffffffffff,2.0,0.0,0.0
82c29ffffffffff,1.0,0.0,0.0
82c387fffffffff,4.0,0.0,0.0
82c3a7fffffffff,9.0,0.0,0.0
82c457fffffffff,1.0,0.0,0.0
82c497fffffffff,1.0,0.0,0.0
82c557fffffffff,1.0,0.0,0.0
82cb77fffffffff,1.0,1.0,0.0
82ced7fffffffff,4.0,0.0,0.0
82cedffffffffff,16.0,0.0,0.0
82d137fffffffff,1.0,0.0,0.0
82d6dffffffffff,6.0,0.0,0.0
82dc5ffffffffff,3.0,0.0,0.0
82dccffffffffff,2.0,0.0,0.0
82dcdffffffffff,1.0,0.0,0.0
82dceffffffffff,1.0,0.0,0.0
82de4ffffffffff,2.0,0.0,0.0
82de5ffffffffff,2.0,0.0,0.0
