cell_id,Zosterops minor,Zosterops minor [chrysolaemus Group],Zosterops minor minor/rothschildi
8472847ffffffff,1.0,1.0,0.0
8472895ffffffff,4.0,0.0,3.0
84728b9ffffffff,3.0,0.0,1.0
8472a07ffffffff,6.0,2.0,0.0
8472a23ffffffff,1.0,0.0,0.0
8472a2bffffffff,127.0,22.0,0.0
8472b07ffffffff,1.0,0.0,0.0
8472d23ffffffff,54.0,6.0,0.0
8472d97ffffffff,17.0,0.0,0.0
8472da1ffffffff,35.0,0.0,0.0
8472da3ffffffff,39.0,0.0,0.0
8472da9ffffffff,2.0,0.0,0.0
8472dabffffffff,2.0,0.0,0.0
8472db3ffffffff,32.0,0.0,0.0
8472de1ffffffff,1.0,0.0,0.0
8472f23ffffffff,3.0,0.0,0.0
8472f35ffffffff,1.0,0.0,0.0
849c851ffffffff,6.0,0.0,0.0
849c85bffffffff,168.0,26.0,0.0
849c8a5ffffffff,1.0,0.0,0.0
849c8a7ffffffff,1.0,0.0,0.0
849c8b5ffffffff,1.0,0.0,0.0
849c8bdffffffff,6.0,0.0,0.0
849c8e7ffffffff,1.0,0.0,0.0
849c8edffffffff,1.0,0.0,0.0
849c9d1ffffffff,47.0,0.0,0.0
849c9d5ffffffff,13.0,0.0,0.0
849c9d7ffffffff,2.0,0.0,0.0
849c9d9ffffffff,2.0,0.0,0.0
849caadffffffff,2.0,0.0,0.0
849cb51ffffffff,27.0,0.0,0.0
849cd2dffffffff,5.0,0.0,0.0
