cell_id,Campethera abingoni,Campethera abingoni chrysura,Campethera abingoni [abingoni Group]
82541ffffffffff,4.0,0.0,0.0
8254affffffffff,16.0,0.0,0.0
8254f7fffffffff,6.0,0.0,0.0
825897fffffffff,2.0,0.0,0.0
8258cffffffffff,1.0,0.0,0.0
826ac7fffffffff,4.0,0.0,0.0
826acffffffffff,7.0,0.0,0.0
826adffffffffff,14.0,0.0,0.0
827527fffffffff,42.0,2.0,0.0
827a67fffffffff,3.0,0.0,0.0
827a6ffffffffff,47.0,0.0,0.0
827b4ffffffffff,14.0,0.0,0.0
827b6ffffffffff,14.0,0.0,0.0
828307fffffffff,4.0,0.0,1.0
828317fffffffff,2.0,0.0,1.0
82831ffffffffff,6.0,0.0,0.0
828327fffffffff,2.0,0.0,0.0
8283a7fffffffff,3.0,0.0,3.0
829607fffffffff,18.0,0.0,1.0
82960ffffffffff,2.0,0.0,0.0
829617fffffffff,2.0,0.0,0.0
82961ffffffffff,1.0,0.0,0.0
829627fffffffff,56.0,0.0,3.0
82962ffffffffff,32.0,0.0,10.0
829637fffffffff,37.0,0.0,3.0
829657fffffffff,1.0,0.0,0.0
829677fffffffff,5.0,0.0,1.0
829697fffffffff,114.0,0.0,0.0
82969ffffffffff,2.0,0.0,0.0
8296a7fffffffff,15.0,0.0,0.0
8296affffffffff,1.0,0.0,0.0
8296b7fffffffff,31.0,0.0,0.0
829707fffffffff,61.0,0.0,5.0
82970ffffffffff,8.0,0.0,0.0
829717fffffffff,199.0,0.0,0.0
82971ffffffffff,64.0,0.0,5.0
829727fffffffff,9.0,0.0,0.0
82972ffffffffff,246.0,0.0,51.0
829737fffffffff,8.0,0.0,0.0
829747fffffffff,91.0,0.0,6.0
82974ffffffffff,373.0,0.0,86.0
829757fffffffff,137.0,0.0,4.0
82975ffffffffff,125.0,0.0,4.0
82976ffffffffff,11.0,0.0,0.0
829777fffffffff,13.0,0.0,0.0
82978ffffffffff,6.0,0.0,2.0
82979ffffffffff,8.0,0.0,0.0
8297affffffffff,24.0,0.0,2.0
82ac87fffffffff,105.0,0.0,15.0
82ac8ffffffffff,26.0,0.0,3.0
82ac97fffffffff,28.0,0.0,0.0
82aca7fffffffff,77.0,0.0,14.0
82acaffffffffff,4.0,0.0,4.0
82acb7fffffffff,34.0,0.0,8.0
82ad87fffffffff,17.0,0.0,6.0
82ad9ffffffffff,1.0,0.0,0.0
82ada7fffffffff,10.0,0.0,1.0
82adb7fffffffff,24.0,0.0,6.0
82bc0ffffffffff,2.0,0.0,0.0
82bc1ffffffffff,43.0,0.0,4.0
82bc8ffffffffff,68.0,0.0,28.0
82bc9ffffffffff,3.0,0.0,0.0
82bcc7fffffffff,34.0,0.0,8.0
82bccffffffffff,6.0,0.0,0.0
82bcd7fffffffff,876.0,0.0,175.0
82bcdffffffffff,243.0,0.0,50.0
82bce7fffffffff,71.0,0.0,28.0
82bceffffffffff,39.0,0.0,15.0
82bcf7fffffffff,1140.0,0.0,222.0
