cell_id,Glaucidium gnoma,Glaucidium gnoma gnoma,Glaucidium gnoma [californicum Group],Glaucidium gnoma pinicola,Glaucidium gnoma cobanense,Glaucidium gnoma hoskinsii
84120e5ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8412511ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
841252dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412865ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
841286dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412c3bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412cadffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8412ccdffffffff,49.0,0.0,0.0,0.0,0.0,0.0
8412ddbffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8412e33ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412e3bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412e53ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412ea5ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8413821ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8413861ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8413867ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84138d5ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8413919ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84139c9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8413b23ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426801ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842680dffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426813ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426817ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426819ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426823ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
842683bffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8426843ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8426853ffffffff,6.0,0.0,0.0,6.0,0.0,0.0
8426859ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842685dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426885ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84268bbffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84268c5ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
84268e7ffffffff,1.0,0.0,0.0,1.0,0.0,0.0
84268ebffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426905ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
