cell_id,Picoides dorsalis,Picoides dorsalis dorsalis,Picoides dorsalis fasciatus,Picoides dorsalis bacatus
820c07fffffffff,17.0,0.0,0.0,0.0
820c17fffffffff,2.0,0.0,0.0,0.0
820c27fffffffff,13.0,0.0,0.0,0.0
820c2ffffffffff,21.0,0.0,0.0,0.0
820c37fffffffff,4.0,0.0,4.0,0.0
820c47fffffffff,95.0,0.0,0.0,0.0
820c57fffffffff,239.0,0.0,0.0,0.0
820c5ffffffffff,59.0,0.0,0.0,0.0
820c67fffffffff,85.0,0.0,1.0,0.0
820c77fffffffff,949.0,0.0,71.0,0.0
820ceffffffffff,3.0,0.0,0.0,0.0
820d1ffffffffff,6.0,0.0,2.0,0.0
820d47fffffffff,15.0,0.0,0.0,0.0
820d4ffffffffff,20.0,0.0,0.0,0.0
820d57fffffffff,11.0,0.0,0.0,0.0
820d5ffffffffff,131.0,0.0,11.0,0.0
820d67fffffffff,2.0,0.0,0.0,0.0
820e4ffffffffff,265.0,0.0,0.0,0.0
820e57fffffffff,4.0,0.0,0.0,0.0
820e5ffffffffff,6.0,0.0,0.0,0.0
820e67fffffffff,13.0,0.0,0.0,0.0
820e6ffffffffff,2.0,0.0,0.0,0.0
820e87fffffffff,59.0,0.0,0.0,0.0
820e97fffffffff,2.0,0.0,0.0,0.0
820ec7fffffffff,1.0,0.0,0.0,0.0
820ecffffffffff,110.0,0.0,0.0,4.0
820ed7fffffffff,4.0,0.0,0.0,0.0
820edffffffffff,16.0,0.0,0.0,0.0
820eeffffffffff,12.0,0.0,0.0,0.0
820ef7fffffffff,2.0,0.0,0.0,0.0
821207fffffffff,3.0,0.0,0.0,0.0
82120ffffffffff,11.0,0.0,0.0,0.0
821217fffffffff,4.0,0.0,0.0,0.0
82121ffffffffff,66.0,0.0,0.0,0.0
821237fffffffff,25.0,0.0,0.0,0.0
821247fffffffff,20.0,0.0,0.0,0.0
82124ffffffffff,19.0,0.0,0.0,0.0
821257fffffffff,135.0,0.0,0.0,0.0
82125ffffffffff,70.0,0.0,0.0,0.0
82126ffffffffff,6.0,0.0,0.0,0.0
821277fffffffff,72.0,0.0,0.0,0.0
821287fffffffff,37.0,0.0,0.0,0.0
82128ffffffffff,108.0,0.0,0.0,0.0
8212a7fffffffff,8.0,0.0,0.0,0.0
8212affffffffff,125.0,0.0,0.0,0.0
8212c7fffffffff,754.0,0.0,2.0,0.0
8212cffffffffff,1349.0,20.0,0.0,0.0
8212d7fffffffff,217.0,0.0,0.0,0.0
8212dffffffffff,398.0,0.0,6.0,0.0
8212e7fffffffff,169.0,0.0,0.0,0.0
8212effffffffff,83.0,0.0,0.0,0.0
8212f7fffffffff,202.0,0.0,0.0,0.0
821307fffffffff,3.0,0.0,0.0,0.0
821357fffffffff,7.0,0.0,0.0,0.0
821387fffffffff,407.0,0.0,0.0,0.0
82138ffffffffff,227.0,0.0,0.0,0.0
821397fffffffff,48.0,0.0,0.0,0.0
82139ffffffffff,43.0,0.0,0.0,0.0
8213a7fffffffff,3.0,0.0,0.0,0.0
8213affffffffff,3.0,0.0,0.0,0.0
8213b7fffffffff,67.0,0.0,0.0,0.0
822617fffffffff,7.0,0.0,0.0,0.0
822687fffffffff,1904.0,226.0,0.0,0.0
82268ffffffffff,863.0,97.0,0.0,0.0
822697fffffffff,399.0,93.0,0.0,0.0
82269ffffffffff,473.0,61.0,0.0,0.0
8226a7fffffffff,54.0,2.0,0.0,0.0
8226b7fffffffff,174.0,30.0,0.0,0.0
822707fffffffff,112.0,0.0,0.0,0.0
82270ffffffffff,15.0,0.0,0.0,0.0
822717fffffffff,88.0,0.0,0.0,0.0
82271ffffffffff,10.0,0.0,0.0,0.0
822727fffffffff,1.0,0.0,0.0,0.0
82272ffffffffff,3.0,0.0,0.0,0.0
822737fffffffff,2.0,0.0,0.0,0.0
822767fffffffff,21.0,0.0,0.0,1.0
822777fffffffff,26.0,0.0,0.0,4.0
82278ffffffffff,43.0,0.0,0.0,0.0
822797fffffffff,116.0,0.0,0.0,0.0
82279ffffffffff,63.0,0.0,0.0,0.0
8227b7fffffffff,49.0,0.0,0.0,0.0
82281ffffffffff,22.0,0.0,0.0,0.0
822887fffffffff,158.0,0.0,0.0,0.0
82288ffffffffff,74.0,0.0,0.0,0.0
822897fffffffff,326.0,38.0,0.0,0.0
82289ffffffffff,196.0,9.0,0.0,0.0
8228affffffffff,16.0,0.0,0.0,0.0
8228b7fffffffff,10.0,3.0,0.0,0.0
8228d7fffffffff,374.0,0.0,16.0,0.0
8228dffffffffff,8.0,0.0,0.0,0.0
8228f7fffffffff,149.0,0.0,5.0,0.0
822997fffffffff,62.0,4.0,0.0,0.0
82299ffffffffff,57.0,15.0,0.0,0.0
8229b7fffffffff,9.0,0.0,0.0,0.0
822b17fffffffff,392.0,0.0,0.0,6.0
822b27fffffffff,8.0,0.0,0.0,0.0
822b37fffffffff,96.0,0.0,0.0,0.0
822b97fffffffff,55.0,0.0,0.0,9.0
822ba7fffffffff,236.0,0.0,0.0,0.0
822baffffffffff,135.0,0.0,0.0,0.0
822bb7fffffffff,78.0,0.0,0.0,0.0
8248c7fffffffff,8.0,2.0,0.0,0.0
8248cffffffffff,321.0,36.0,0.0,0.0
8248d7fffffffff,15.0,0.0,0.0,0.0
8248dffffffffff,665.0,95.0,0.0,0.0
