cell_id,Pyrrhura frontalis,Pyrrhura frontalis frontalis,Pyrrhura frontalis chiripepe
8481023ffffffff,6.0,0.0,0.0
8481029ffffffff,41.0,2.0,0.0
8481063ffffffff,1.0,0.0,0.0
8481113ffffffff,3.0,0.0,0.0
84811e9ffffffff,5.0,0.0,0.0
848124dffffffff,55.0,0.0,0.0
8481303ffffffff,34.0,3.0,0.0
8481307ffffffff,13.0,0.0,0.0
8481327ffffffff,2.0,0.0,0.0
8481329ffffffff,2.0,2.0,0.0
8481339ffffffff,145.0,4.0,0.0
8481343ffffffff,12.0,0.0,0.0
848134dffffffff,6.0,0.0,0.0
8481363ffffffff,315.0,6.0,0.0
84a8001ffffffff,20.0,0.0,0.0
84a8005ffffffff,2.0,0.0,0.0
84a8009ffffffff,8.0,0.0,0.0
84a800dffffffff,8.0,0.0,0.0
84a8013ffffffff,3.0,0.0,0.0
84a8019ffffffff,20.0,0.0,0.0
84a801bffffffff,40.0,0.0,0.0
84a8043ffffffff,3.0,0.0,0.0
84a8045ffffffff,1.0,0.0,0.0
84a8049ffffffff,39.0,0.0,3.0
84a804bffffffff,1.0,0.0,0.0
84a804dffffffff,37.0,0.0,2.0
84a8055ffffffff,11.0,0.0,1.0
84a8057ffffffff,14.0,0.0,0.0
84a805dffffffff,27.0,0.0,0.0
84a8061ffffffff,89.0,13.0,0.0
84a8063ffffffff,26.0,6.0,0.0
84a8065ffffffff,18.0,4.0,0.0
84a8067ffffffff,248.0,32.0,0.0
84a8069ffffffff,38.0,0.0,0.0
84a806dffffffff,17.0,0.0,0.0
84a80c3ffffffff,29.0,0.0,0.0
84a80d9ffffffff,2.0,0.0,0.0
84a80ddffffffff,1.0,0.0,0.0
84a8101ffffffff,807.0,6.0,0.0
84a8103ffffffff,124.0,7.0,0.0
84a8105ffffffff,844.0,6.0,0.0
84a8107ffffffff,425.0,0.0,0.0
84a8109ffffffff,396.0,13.0,0.0
84a810bffffffff,49.0,6.0,0.0
84a810dffffffff,93.0,0.0,0.0
84a8123ffffffff,432.0,16.0,0.0
84a8125ffffffff,86.0,10.0,0.0
84a8127ffffffff,684.0,92.0,0.0
84a8129ffffffff,134.0,10.0,0.0
84a812bffffffff,28.0,0.0,0.0
84a812dffffffff,309.0,23.0,0.0
84a8131ffffffff,3.0,0.0,0.0
84a813bffffffff,4.0,0.0,0.0
84a8143ffffffff,558.0,16.0,0.0
84a8151ffffffff,27.0,2.0,0.0
84a8153ffffffff,183.0,13.0,0.0
84a8155ffffffff,331.0,28.0,0.0
84a8157ffffffff,556.0,26.0,0.0
84a8159ffffffff,2.0,0.0,0.0
84a815bffffffff,408.0,62.0,0.0
84a815dffffffff,3.0,0.0,0.0
84a8163ffffffff,18.0,0.0,0.0
84a8167ffffffff,117.0,18.0,0.0
84a8181ffffffff,4.0,0.0,0.0
84a81edffffffff,1.0,0.0,0.0
84a8203ffffffff,23.0,0.0,2.0
84a8207ffffffff,13.0,0.0,2.0
84a8209ffffffff,1.0,0.0,0.0
84a8211ffffffff,11.0,0.0,0.0
84a8213ffffffff,3.0,0.0,0.0
84a8215ffffffff,6.0,0.0,0.0
84a8219ffffffff,17.0,0.0,0.0
84a8223ffffffff,5.0,0.0,0.0
84a8225ffffffff,11.0,0.0,1.0
84a8227ffffffff,3.0,0.0,0.0
84a8229ffffffff,1.0,0.0,0.0
84a822bffffffff,37.0,0.0,0.0
84a8231ffffffff,2.0,0.0,0.0
84a8235ffffffff,16.0,0.0,1.0
84a8237ffffffff,39.0,0.0,0.0
84a823bffffffff,1.0,0.0,0.0
84a823dffffffff,2.0,0.0,0.0
84a8241ffffffff,57.0,0.0,29.0
84a8245ffffffff,26.0,0.0,17.0
84a8247ffffffff,21.0,0.0,14.0
84a824bffffffff,5.0,0.0,0.0
