cell_id,Eupsittula pertinax,Eupsittula pertinax ocularis,Eupsittula pertinax [pertinax Group]
844ce81ffffffff,2.0,2.0,0.0
844ce85ffffffff,8.0,0.0,0.0
844ce8bffffffff,3.0,0.0,0.0
844cee3ffffffff,2.0,0.0,0.0
845f583ffffffff,20.0,0.0,0.0
8466027ffffffff,16.0,0.0,0.0
8466067ffffffff,1.0,0.0,0.0
84660d9ffffffff,10.0,0.0,0.0
84660ddffffffff,6.0,0.0,0.0
84660ebffffffff,2.0,0.0,0.0
846618bffffffff,2.0,0.0,2.0
846619bffffffff,2.0,0.0,2.0
84661b1ffffffff,8.0,0.0,0.0
84661c9ffffffff,3.0,0.0,0.0
84661cdffffffff,37.0,0.0,0.0
846622bffffffff,4.0,0.0,4.0
8466231ffffffff,1.0,0.0,0.0
84662b7ffffffff,2.0,0.0,0.0
84662b9ffffffff,2.0,0.0,0.0
8466313ffffffff,4.0,0.0,0.0
8466a03ffffffff,4.0,0.0,0.0
8466a0bffffffff,5.0,0.0,0.0
8466a21ffffffff,7.0,0.0,0.0
8466a29ffffffff,1.0,0.0,0.0
8466a2dffffffff,1.0,1.0,0.0
8466a33ffffffff,3.0,0.0,0.0
8466a51ffffffff,46.0,0.0,0.0
8466a57ffffffff,17.0,0.0,0.0
8466a59ffffffff,3.0,0.0,0.0
8466a5bffffffff,23.0,0.0,0.0
8466b0bffffffff,2.0,2.0,0.0
8466b19ffffffff,3.0,0.0,0.0
8466b51ffffffff,4.0,1.0,0.0
8466b53ffffffff,31.0,5.0,0.0
8466b55ffffffff,7.0,7.0,0.0
8466b57ffffffff,14.0,1.0,0.0
8466b59ffffffff,4.0,3.0,0.0
8466b5bffffffff,4.0,0.0,0.0
8466e6dffffffff,15.0,0.0,0.0
8466f1dffffffff,5.0,0.0,0.0
8466f57ffffffff,1.0,0.0,0.0
8467413ffffffff,97.0,0.0,3.0
846743dffffffff,3.0,0.0,0.0
8467447ffffffff,43.0,0.0,0.0
8467461ffffffff,2.0,0.0,0.0
846746bffffffff,8.0,0.0,1.0
84674c5ffffffff,2.0,0.0,0.0
84674e9ffffffff,2.0,0.0,0.0
8467599ffffffff,1.0,0.0,1.0
84675abffffffff,1.0,0.0,0.0
84675cbffffffff,11.0,0.0,0.0
84675e5ffffffff,2.0,0.0,0.0
84679b3ffffffff,4.0,0.0,0.0
84679b7ffffffff,2.0,2.0,0.0
848a069ffffffff,2.0,0.0,0.0
848aab9ffffffff,1.0,0.0,0.0
848af1dffffffff,5.0,0.0,0.0
