cell_id,Stilpnia cayana,Stilpnia cayana cayana/fulvescens,Stilpnia cayana [flava Group]
845f083ffffffff,32.0,0.0,0.0
845f08bffffffff,8.0,0.0,0.0
845f095ffffffff,69.0,0.0,0.0
845f09dffffffff,13.0,0.0,0.0
845f0d7ffffffff,18.0,0.0,0.0
845f117ffffffff,1.0,0.0,0.0
845f13bffffffff,1.0,0.0,0.0
845f13dffffffff,4.0,0.0,0.0
845f1cbffffffff,29.0,0.0,0.0
845f223ffffffff,5.0,0.0,0.0
845f227ffffffff,7.0,0.0,0.0
845f291ffffffff,33.0,2.0,0.0
845f295ffffffff,97.0,0.0,0.0
845f297ffffffff,8.0,0.0,0.0
845f299ffffffff,87.0,0.0,0.0
845f29dffffffff,50.0,0.0,0.0
845f2b1ffffffff,2.0,0.0,0.0
845f2b3ffffffff,3.0,0.0,0.0
845f2b9ffffffff,1.0,0.0,0.0
845f2bbffffffff,13.0,0.0,0.0
845f2d1ffffffff,107.0,0.0,0.0
845f2d3ffffffff,15.0,0.0,0.0
845f2d5ffffffff,8.0,0.0,0.0
845f2d7ffffffff,60.0,0.0,0.0
845f2dbffffffff,4.0,0.0,0.0
845f403ffffffff,21.0,0.0,0.0
845f407ffffffff,16.0,1.0,0.0
845f411ffffffff,1.0,0.0,0.0
845f415ffffffff,17.0,0.0,0.0
845f42bffffffff,28.0,0.0,0.0
845f46bffffffff,2.0,0.0,0.0
845f483ffffffff,3.0,0.0,0.0
845f485ffffffff,3.0,0.0,0.0
845f487ffffffff,8.0,0.0,0.0
845f491ffffffff,5.0,0.0,0.0
845f497ffffffff,3.0,0.0,0.0
845f4abffffffff,6.0,0.0,0.0
845f4b5ffffffff,1.0,0.0,0.0
845f4b9ffffffff,5.0,0.0,0.0
845f4bdffffffff,16.0,5.0,0.0
845f4e3ffffffff,1.0,0.0,0.0
845f635ffffffff,2.0,0.0,0.0
845f637ffffffff,1.0,0.0,0.0
845f665ffffffff,2.0,0.0,0.0
845f681ffffffff,2.0,0.0,0.0
845f683ffffffff,5.0,0.0,0.0
845f689ffffffff,2.0,0.0,0.0
845f691ffffffff,1.0,0.0,0.0
