cell_id,Campylorhynchus brunneicapillus,Campylorhynchus brunneicapillus [brunneicapillus Group],Campylorhynchus brunneicapillus [affinis Group]
8226d7fffffffff,13.0,0.0,0.0
8226dffffffffff,5.0,0.0,0.0
822987fffffffff,14.0,0.0,0.0
822997fffffffff,18.0,0.0,0.0
8229a7fffffffff,171.0,1.0,1.0
8229affffffffff,13.0,0.0,0.0
8229b7fffffffff,98.0,1.0,0.0
82481ffffffffff,1.0,0.0,0.0
824827fffffffff,10.0,0.0,0.0
82482ffffffffff,4.0,0.0,0.0
82485ffffffffff,50.0,0.0,0.0
824887fffffffff,4.0,0.0,0.0
82488ffffffffff,12.0,1.0,0.0
824897fffffffff,6.0,0.0,0.0
82489ffffffffff,43.0,2.0,0.0
8248affffffffff,3.0,1.0,0.0
8248b7fffffffff,4.0,3.0,0.0
8248c7fffffffff,14.0,6.0,0.0
8248cffffffffff,2.0,0.0,0.0
8248d7fffffffff,6.0,0.0,0.0
8248dffffffffff,60.0,0.0,0.0
8248effffffffff,200.0,97.0,0.0
824987fffffffff,15.0,15.0,0.0
824997fffffffff,4.0,0.0,0.0
