cell_id,Mixornis gularis,Mixornis gularis [gularis Group],Mixornis gularis woodi
843c065ffffffff,4.0,0.0,0.0
843c0a5ffffffff,9.0,0.0,0.0
843c0adffffffff,1.0,0.0,0.0
843c159ffffffff,125.0,2.0,0.0
843c199ffffffff,278.0,9.0,0.0
843c19bffffffff,30.0,0.0,0.0
843c1c3ffffffff,46.0,0.0,0.0
843c1c9ffffffff,1.0,0.0,0.0
843c1d3ffffffff,17.0,0.0,0.0
843c1d7ffffffff,17.0,0.0,0.0
843c333ffffffff,8.0,0.0,0.0
843c369ffffffff,17.0,0.0,0.0
843c36bffffffff,9.0,0.0,0.0
843c525ffffffff,21.0,0.0,0.0
843c527ffffffff,85.0,0.0,0.0
843c537ffffffff,17.0,0.0,0.0
843c581ffffffff,65.0,0.0,0.0
843c585ffffffff,49.0,0.0,0.0
843c587ffffffff,17.0,0.0,0.0
843c58dffffffff,9.0,0.0,0.0
843c5a1ffffffff,590.0,0.0,0.0
843c5a3ffffffff,2.0,0.0,0.0
843c5a9ffffffff,93.0,0.0,0.0
843c5abffffffff,19.0,0.0,0.0
843c5adffffffff,69.0,0.0,0.0
843c5bdffffffff,165.0,0.0,0.0
843c5c5ffffffff,3.0,0.0,0.0
843c5e1ffffffff,1.0,0.0,0.0
843c5e3ffffffff,16.0,0.0,0.0
843c5e5ffffffff,1.0,0.0,0.0
843c5ebffffffff,6.0,0.0,0.0
843c823ffffffff,5.0,0.0,0.0
843c82dffffffff,2.0,0.0,0.0
843c831ffffffff,2.0,0.0,0.0
843c837ffffffff,4.0,0.0,0.0
843c839ffffffff,29.0,0.0,0.0
843c83bffffffff,1.0,0.0,0.0
843c885ffffffff,98.0,0.0,0.0
843c899ffffffff,1.0,0.0,0.0
843c89bffffffff,1.0,0.0,0.0
843c8c1ffffffff,9.0,0.0,0.0
843c8c7ffffffff,74.0,0.0,0.0
843c8c9ffffffff,10.0,0.0,0.0
843c8cbffffffff,14.0,0.0,0.0
843c8d5ffffffff,1.0,0.0,0.0
843c8e1ffffffff,8.0,0.0,0.0
843c8e5ffffffff,1.0,0.0,0.0
843c8edffffffff,3.0,0.0,0.0
843c909ffffffff,154.0,0.0,0.0
843c90bffffffff,6.0,0.0,0.0
843c929ffffffff,70.0,0.0,0.0
843c92bffffffff,22.0,0.0,0.0
843c92dffffffff,85.0,0.0,0.0
843c943ffffffff,8.0,0.0,0.0
843c945ffffffff,5.0,0.0,0.0
843c947ffffffff,152.0,0.0,0.0
843c953ffffffff,5.0,0.0,0.0
843c967ffffffff,117.0,0.0,0.0
843cab1ffffffff,18.0,0.0,0.0
843cac3ffffffff,2.0,0.0,0.0
843caddffffffff,3.0,0.0,0.0
843cc01ffffffff,12.0,0.0,0.0
843cc05ffffffff,8.0,0.0,0.0
843cc07ffffffff,15.0,0.0,0.0
843cc09ffffffff,4.0,0.0,0.0
843cc0bffffffff,189.0,0.0,0.0
843cc0dffffffff,33.0,0.0,0.0
843cc1dffffffff,2.0,0.0,0.0
843cc23ffffffff,1.0,0.0,0.0
843cc27ffffffff,6.0,0.0,0.0
843cc29ffffffff,23.0,0.0,0.0
843cc2bffffffff,12.0,0.0,0.0
843cc39ffffffff,3.0,0.0,0.0
843cc41ffffffff,85.0,0.0,0.0
843cc43ffffffff,35.0,0.0,0.0
843cc45ffffffff,10.0,0.0,0.0
843cc47ffffffff,108.0,0.0,0.0
843cc51ffffffff,3.0,0.0,0.0
843cc55ffffffff,82.0,0.0,0.0
843cc59ffffffff,12.0,0.0,0.0
843cc5bffffffff,50.0,0.0,0.0
843cc5dffffffff,105.0,0.0,0.0
843cc67ffffffff,1.0,0.0,0.0
843cc6bffffffff,84.0,0.0,0.0
843cc83ffffffff,3.0,0.0,0.0
843ccb5ffffffff,1.0,0.0,0.0
843ccb7ffffffff,6.0,0.0,0.0
843ccc9ffffffff,4.0,0.0,0.0
843ccd3ffffffff,2.0,2.0,0.0
843cd13ffffffff,4.0,0.0,0.0
843cd1bffffffff,5.0,0.0,0.0
843cd49ffffffff,1.0,0.0,0.0
843cd4bffffffff,60.0,0.0,0.0
843cd8bffffffff,6.0,0.0,0.0
843cd93ffffffff,4.0,3.0,0.0
843cd9dffffffff,5.0,2.0,0.0
843cdbdffffffff,2.0,0.0,0.0
843cdc1ffffffff,1.0,0.0,0.0
843cdc5ffffffff,5.0,0.0,0.0
843cdcdffffffff,5.0,0.0,0.0
843cddbffffffff,3.0,0.0,0.0
843ce01ffffffff,2.0,0.0,0.0
843ce03ffffffff,17.0,0.0,0.0
843ce09ffffffff,1.0,0.0,0.0
843ce11ffffffff,25.0,0.0,0.0
843ce13ffffffff,1.0,0.0,0.0
843ce15ffffffff,389.0,0.0,0.0
843ce17ffffffff,3.0,0.0,0.0
843ce19ffffffff,48.0,0.0,0.0
843ce1bffffffff,10.0,0.0,0.0
843ce1dffffffff,2.0,0.0,0.0
843ce29ffffffff,11.0,0.0,0.0
843ce2bffffffff,65.0,0.0,0.0
843ce31ffffffff,8.0,0.0,0.0
843ce33ffffffff,2.0,0.0,0.0
843ce37ffffffff,2.0,0.0,0.0
843ce39ffffffff,1.0,0.0,0.0
843ce3bffffffff,5.0,0.0,0.0
843ce41ffffffff,17.0,0.0,0.0
843ce43ffffffff,38.0,0.0,0.0
843ce45ffffffff,3.0,0.0,0.0
843ce49ffffffff,2.0,0.0,0.0
843ce4dffffffff,127.0,17.0,0.0
843ce51ffffffff,3.0,0.0,0.0
843ce53ffffffff,3.0,0.0,0.0
843ce55ffffffff,172.0,2.0,0.0
843ce57ffffffff,206.0,2.0,0.0
843ce5bffffffff,1.0,0.0,0.0
843ce5dffffffff,7.0,0.0,0.0
843ce81ffffffff,2.0,0.0,0.0
843ce85ffffffff,2.0,0.0,0.0
843ce89ffffffff,12.0,0.0,0.0
843ce8bffffffff,28.0,0.0,0.0
843ce8dffffffff,1.0,0.0,0.0
843ce97ffffffff,4.0,0.0,0.0
843ceb3ffffffff,1.0,0.0,0.0
843cebbffffffff,7.0,0.0,0.0
843cec1ffffffff,270.0,0.0,0.0
843cec3ffffffff,139.0,0.0,0.0
843cec9ffffffff,354.0,0.0,0.0
843ced3ffffffff,2.0,0.0,0.0
843ced5ffffffff,46.0,0.0,0.0
843ced7ffffffff,4.0,0.0,0.0
