cell_id,Ducula chalconota,Ducula chalconota chalconota,Ducula chalconota smaragdina
8372dafffffffff,2.0,0.0,0.0
839c9dfffffffff,2.0,0.0,0.0
839cd2fffffffff,2.0,0.0,0.0
