cell_id,Chaetura spinicaudus,Chaetura spinicaudus aetherodroma,Chaetura spinicaudus spinicaudus,Chaetura spinicaudus aethalea
835f4afffffffff,1.0,0.0,0.0,0.0
836610fffffffff,8.0,0.0,0.0,0.0
836613fffffffff,8.0,0.0,0.0,0.0
836616fffffffff,6.0,0.0,0.0,0.0
83661efffffffff,4.0,0.0,0.0,0.0
8366a0fffffffff,26.0,0.0,0.0,0.0
8366a1fffffffff,5.0,0.0,0.0,0.0
8366a3fffffffff,1.0,0.0,0.0,0.0
8366a5fffffffff,44.0,0.0,0.0,0.0
8366d0fffffffff,3.0,0.0,0.0,0.0
8366d3fffffffff,4.0,0.0,0.0,0.0
8366e4fffffffff,3.0,0.0,0.0,0.0
8366e6fffffffff,2.0,0.0,0.0,0.0
838185fffffffff,4.0,0.0,0.0,0.0
838a01fffffffff,1.0,0.0,0.0,1.0
838aacfffffffff,1.0,0.0,0.0,0.0
838aadfffffffff,1.0,0.0,0.0,0.0
838b8dfffffffff,1.0,0.0,0.0,0.0
838f0dfffffffff,1.0,0.0,0.0,0.0
838f2cfffffffff,2.0,0.0,0.0,0.0
