cell_id,Cyclopsitta diophthalma,Cyclopsitta diophthalma [diophthalma Group],Cyclopsitta diophthalma coxeni
83728bfffffffff,2.0,0.0,0.0
83728efffffffff,3.0,0.0,0.0
8372a0fffffffff,2.0,0.0,0.0
8372a2fffffffff,6.0,0.0,0.0
8372d2fffffffff,2.0,0.0,0.0
8372d5fffffffff,3.0,0.0,0.0
8372dafffffffff,4.0,0.0,0.0
8372dbfffffffff,91.0,0.0,0.0
8372defffffffff,8.0,0.0,0.0
8372f2fffffffff,70.0,0.0,0.0
8372f3fffffffff,2.0,0.0,0.0
83739afffffffff,7.0,0.0,0.0
83739bfffffffff,108.0,0.0,0.0
839c00fffffffff,3.0,0.0,0.0
839c05fffffffff,376.0,53.0,0.0
839c0afffffffff,2.0,0.0,0.0
839c19fffffffff,362.0,13.0,0.0
839c20fffffffff,146.0,13.0,0.0
839c21fffffffff,69.0,10.0,0.0
839c23fffffffff,2915.0,280.0,0.0
839c25fffffffff,19.0,0.0,0.0
839c8afffffffff,1.0,0.0,0.0
839c8efffffffff,1.0,0.0,0.0
839c99fffffffff,16.0,0.0,0.0
839c9dfffffffff,8.0,0.0,0.0
839cb5fffffffff,9.0,0.0,0.0
839cd3fffffffff,219.0,21.0,0.0
839cf5fffffffff,1.0,0.0,0.0
839d91fffffffff,1.0,0.0,0.0
