cell_id,Buteo platypterus,Buteo platypterus platypterus,Buteo platypterus [antillarum Group]
820e4ffffffffff,244.0,0.0,0.0
820e5ffffffffff,17.0,0.0,0.0
820ecffffffffff,65.0,0.0,0.0
820edffffffffff,12.0,0.0,0.0
82120ffffffffff,2.0,0.0,0.0
821217fffffffff,2.0,0.0,0.0
82121ffffffffff,26.0,0.0,0.0
82122ffffffffff,2.0,0.0,0.0
821237fffffffff,5.0,0.0,0.0
821247fffffffff,3.0,0.0,0.0
82124ffffffffff,27.0,0.0,0.0
821257fffffffff,271.0,0.0,0.0
82125ffffffffff,66.0,0.0,0.0
82126ffffffffff,2.0,0.0,0.0
821277fffffffff,210.0,0.0,0.0
8212affffffffff,78.0,0.0,0.0
8212c7fffffffff,60.0,0.0,0.0
8212cffffffffff,292.0,0.0,0.0
8212e7fffffffff,68.0,0.0,0.0
8212effffffffff,386.0,0.0,0.0
8212f7fffffffff,32.0,0.0,0.0
821b97fffffffff,1.0,0.0,0.0
822607fffffffff,247.0,0.0,0.0
82260ffffffffff,447.0,1.0,0.0
822617fffffffff,30.0,0.0,0.0
82261ffffffffff,10.0,0.0,0.0
822627fffffffff,1544.0,0.0,0.0
82262ffffffffff,1951.0,0.0,0.0
822637fffffffff,165.0,0.0,0.0
822647fffffffff,1143.0,0.0,0.0
82264ffffffffff,1321.0,0.0,0.0
822657fffffffff,2607.0,0.0,0.0
82265ffffffffff,1492.0,0.0,0.0
822667fffffffff,2270.0,0.0,0.0
82266ffffffffff,1698.0,0.0,0.0
822677fffffffff,378.0,0.0,0.0
822687fffffffff,224.0,0.0,0.0
82268ffffffffff,414.0,0.0,0.0
8226a7fffffffff,26.0,0.0,0.0
8226affffffffff,173.0,0.0,0.0
8226c7fffffffff,300.0,0.0,0.0
8226cffffffffff,916.0,0.0,0.0
8226d7fffffffff,144.0,0.0,0.0
8226dffffffffff,49.0,0.0,0.0
8226e7fffffffff,308.0,0.0,0.0
8226effffffffff,991.0,0.0,0.0
8226f7fffffffff,489.0,0.0,0.0
822707fffffffff,785.0,0.0,0.0
82270ffffffffff,1717.0,0.0,0.0
822717fffffffff,386.0,0.0,0.0
82271ffffffffff,579.0,0.0,0.0
822727fffffffff,2.0,0.0,0.0
82272ffffffffff,42.0,0.0,0.0
822747fffffffff,2427.0,0.0,0.0
82274ffffffffff,2968.0,0.0,0.0
822757fffffffff,4822.0,0.0,0.0
82275ffffffffff,3216.0,0.0,0.0
822767fffffffff,1786.0,0.0,0.0
82276ffffffffff,1722.0,0.0,0.0
822777fffffffff,740.0,0.0,0.0
822787fffffffff,46.0,0.0,0.0
82278ffffffffff,59.0,0.0,0.0
822797fffffffff,24.0,0.0,0.0
82279ffffffffff,5.0,0.0,0.0
8227a7fffffffff,82.0,0.0,0.0
8227affffffffff,250.0,0.0,0.0
8227b7fffffffff,71.0,0.0,0.0
822837fffffffff,259.0,0.0,0.0
822887fffffffff,78.0,0.0,0.0
822897fffffffff,1.0,0.0,0.0
82289ffffffffff,3.0,0.0,0.0
8228b7fffffffff,6.0,0.0,0.0
8228d7fffffffff,11.0,0.0,0.0
82299ffffffffff,77.0,0.0,0.0
822a17fffffffff,10169.0,2.0,0.0
822a37fffffffff,15173.0,0.0,0.0
822a87fffffffff,5006.0,70.0,0.0
822a8ffffffffff,3797.0,3.0,0.0
822a97fffffffff,2582.0,0.0,0.0
822a9ffffffffff,1675.0,6.0,0.0
822aa7fffffffff,9376.0,22.0,0.0
822aaffffffffff,12609.0,157.0,0.0
822ab7fffffffff,5870.0,16.0,0.0
822ad7fffffffff,177.0,0.0,0.0
822af7fffffffff,566.0,0.0,0.0
822b07fffffffff,584.0,0.0,0.0
822b0ffffffffff,645.0,0.0,0.0
822b17fffffffff,2795.0,0.0,0.0
822b1ffffffffff,5195.0,0.0,0.0
822b27fffffffff,11.0,0.0,0.0
822b2ffffffffff,81.0,0.0,0.0
822b37fffffffff,477.0,0.0,0.0
822b87fffffffff,6267.0,120.0,0.0
822b8ffffffffff,10004.0,12.0,0.0
822b97fffffffff,1299.0,0.0,0.0
822b9ffffffffff,8511.0,28.0,0.0
822ba7fffffffff,1697.0,0.0,0.0
822baffffffffff,11182.0,0.0,0.0
822bb7fffffffff,298.0,0.0,0.0
824417fffffffff,2701.0,0.0,0.0
82441ffffffffff,70.0,0.0,0.0
824437fffffffff,475.0,0.0,133.0
824447fffffffff,1292.0,0.0,0.0
82444ffffffffff,588.0,0.0,0.0
824457fffffffff,1240.0,0.0,0.0
82445ffffffffff,289.0,0.0,0.0
824467fffffffff,127.0,0.0,0.0
82446ffffffffff,4347.0,0.0,0.0
824477fffffffff,627.0,0.0,0.0
8244a7fffffffff,1430.0,11.0,0.0
8244affffffffff,126.0,0.0,0.0
8244c7fffffffff,1170.0,0.0,0.0
8244cffffffffff,3985.0,47.0,0.0
8244d7fffffffff,202.0,0.0,0.0
8244dffffffffff,4428.0,193.0,0.0
8244e7fffffffff,393.0,10.0,0.0
8244effffffffff,627.0,0.0,0.0
8244f7fffffffff,73.0,1.0,0.0
824507fffffffff,4.0,0.0,0.0
82451ffffffffff,4.0,0.0,0.0
824527fffffffff,2950.0,22.0,0.0
82452ffffffffff,814.0,0.0,0.0
824537fffffffff,191.0,6.0,0.0
824587fffffffff,20.0,0.0,17.0
82458ffffffffff,282.0,0.0,60.0
824597fffffffff,10.0,0.0,0.0
82459ffffffffff,44.0,0.0,27.0
824807fffffffff,5.0,0.0,0.0
824817fffffffff,5.0,0.0,0.0
824837fffffffff,327.0,13.0,0.0
824887fffffffff,235.0,0.0,0.0
82488ffffffffff,31.0,0.0,0.0
824897fffffffff,1739.0,0.0,0.0
82489ffffffffff,2123.0,0.0,0.0
8248a7fffffffff,75.0,0.0,0.0
8248affffffffff,23.0,0.0,0.0
8248b7fffffffff,4814.0,0.0,0.0
8248c7fffffffff,4.0,0.0,0.0
8248d7fffffffff,66.0,0.0,0.0
8248dffffffffff,29.0,0.0,0.0
824987fffffffff,34.0,0.0,0.0
824997fffffffff,4069.0,239.0,0.0
82499ffffffffff,37.0,0.0,0.0
8249affffffffff,107.0,2.0,0.0
8249b7fffffffff,33.0,0.0,0.0
824c97fffffffff,2.0,0.0,0.0
824c9ffffffffff,11.0,0.0,5.0
824cc7fffffffff,157.0,0.0,73.0
824ceffffffffff,10.0,0.0,3.0
825e47fffffffff,789.0,0.0,154.0
825e4ffffffffff,10.0,0.0,0.0
825e5ffffffffff,96.0,0.0,0.0
825e67fffffffff,904.0,0.0,450.0
825e77fffffffff,510.0,0.0,125.0
825f07fffffffff,15.0,0.0,0.0
825f17fffffffff,4.0,0.0,0.0
825f2ffffffffff,2.0,0.0,0.0
825f4ffffffffff,5.0,0.0,0.0
825f5ffffffffff,606.0,0.0,0.0
825f77fffffffff,32.0,0.0,0.0
826607fffffffff,20.0,0.0,0.0
82660ffffffffff,749.0,16.0,0.0
826617fffffffff,1482.0,0.0,0.0
82661ffffffffff,4015.0,58.0,0.0
826627fffffffff,2227.0,209.0,0.0
82662ffffffffff,236.0,9.0,0.0
826637fffffffff,56.0,0.0,0.0
826647fffffffff,36.0,0.0,0.0
82664ffffffffff,2.0,0.0,0.0
826657fffffffff,23.0,0.0,0.0
82665ffffffffff,20.0,0.0,0.0
82666ffffffffff,4.0,0.0,0.0
826677fffffffff,2.0,0.0,0.0
8266a7fffffffff,5315.0,0.0,0.0
8266b7fffffffff,9010.0,0.0,0.0
8266c7fffffffff,892.0,30.0,0.0
8266cffffffffff,3.0,0.0,0.0
8266d7fffffffff,1493.0,136.0,0.0
8266dffffffffff,911.0,46.0,0.0
8266e7fffffffff,7149.0,123.0,0.0
8266effffffffff,29.0,0.0,0.0
8266f7fffffffff,1712.0,40.0,0.0
826747fffffffff,50.0,0.0,0.0
82674ffffffffff,234.0,8.0,0.0
826757fffffffff,28.0,0.0,0.0
82675ffffffffff,78.0,0.0,0.0
826787fffffffff,3.0,0.0,0.0
826797fffffffff,12.0,0.0,0.0
82679ffffffffff,2128.0,0.0,0.0
826d07fffffffff,150.0,48.0,0.0
826d17fffffffff,299.0,29.0,0.0
826d27fffffffff,291.0,66.0,0.0
826d2ffffffffff,1934.0,122.0,0.0
826d37fffffffff,599.0,58.0,0.0
826d67fffffffff,1742.0,6.0,0.0
826d6ffffffffff,11778.0,0.0,0.0
826d77fffffffff,418.0,0.0,0.0
828a07fffffffff,1.0,0.0,0.0
828a1ffffffffff,2.0,0.0,0.0
828a47fffffffff,3.0,0.0,0.0
828a6ffffffffff,14.0,0.0,0.0
828af7fffffffff,39.0,0.0,0.0
828b27fffffffff,35.0,0.0,0.0
828b2ffffffffff,17.0,0.0,0.0
828b47fffffffff,16.0,0.0,0.0
828b67fffffffff,198.0,0.0,0.0
828b6ffffffffff,66.0,0.0,0.0
828b77fffffffff,14.0,0.0,0.0
828b87fffffffff,1.0,0.0,0.0
828b9ffffffffff,4.0,0.0,0.0
828ba7fffffffff,1.0,0.0,0.0
828bb7fffffffff,1.0,0.0,0.0
828e67fffffffff,36.0,0.0,0.0
828e6ffffffffff,7.0,0.0,0.0
828f0ffffffffff,53.0,12.0,0.0
828f2ffffffffff,110.0,4.0,0.0
828f47fffffffff,45.0,0.0,0.0
