cell_id,Coracias caudatus,Coracias caudatus lorti,Coracias caudatus caudatus
847acd9ffffffff,1.0,0.0,0.0
847ad91ffffffff,2.0,0.0,0.0
847ad99ffffffff,16.0,0.0,0.0
847ad9bffffffff,2.0,0.0,0.0
847ad9dffffffff,2.0,0.0,0.0
847ae81ffffffff,12.0,2.0,0.0
847ae85ffffffff,63.0,4.0,0.0
847ae87ffffffff,22.0,2.0,0.0
847ae8bffffffff,3.0,0.0,0.0
847ae91ffffffff,15.0,2.0,0.0
847ae93ffffffff,3.0,0.0,0.0
847ae95ffffffff,4.0,0.0,0.0
847ae97ffffffff,4.0,0.0,0.0
847ae99ffffffff,10.0,0.0,0.0
847ae9bffffffff,40.0,7.0,0.0
847ae9dffffffff,2.0,2.0,0.0
847aea3ffffffff,4.0,0.0,0.0
847aea7ffffffff,2.0,0.0,0.0
847aeabffffffff,8.0,0.0,0.0
847aed1ffffffff,5.0,0.0,0.0
847aed3ffffffff,43.0,3.0,0.0
847aed7ffffffff,2.0,0.0,0.0
847aedbffffffff,4.0,0.0,0.0
847b483ffffffff,1.0,0.0,0.0
847b485ffffffff,3.0,0.0,0.0
847b487ffffffff,1.0,0.0,0.0
847b489ffffffff,11.0,0.0,0.0
847b4a1ffffffff,13.0,0.0,0.0
847b4a5ffffffff,16.0,0.0,0.0
847b4a7ffffffff,2.0,0.0,0.0
847b4b7ffffffff,17.0,0.0,0.0
847b4b9ffffffff,6.0,0.0,0.0
847b4c7ffffffff,2.0,0.0,0.0
847b4d1ffffffff,1.0,0.0,0.0
847b4dbffffffff,9.0,0.0,0.0
847b4ddffffffff,3.0,0.0,0.0
847b591ffffffff,15.0,0.0,0.0
847b595ffffffff,55.0,0.0,0.0
847b597ffffffff,56.0,0.0,0.0
847b59bffffffff,8.0,0.0,0.0
847b5b1ffffffff,4.0,0.0,0.0
847b5b3ffffffff,4.0,0.0,0.0
847b5b7ffffffff,1.0,0.0,0.0
847b5bbffffffff,3.0,0.0,0.0
847b689ffffffff,3.0,0.0,0.0
847b6a9ffffffff,7.0,0.0,0.0
847b6abffffffff,1.0,0.0,0.0
847b6b9ffffffff,2.0,0.0,0.0
847b6bbffffffff,22.0,0.0,0.0
8482a55ffffffff,2.0,0.0,0.0
8483113ffffffff,2.0,0.0,2.0
8483127ffffffff,1.0,0.0,0.0
84831e9ffffffff,3.0,0.0,3.0
84831ebffffffff,2.0,0.0,0.0
8483225ffffffff,1.0,0.0,1.0
8483305ffffffff,2.0,0.0,0.0
8483313ffffffff,2.0,0.0,0.0
848331bffffffff,1.0,0.0,1.0
848333dffffffff,2.0,0.0,2.0
848335bffffffff,3.0,0.0,3.0
8483861ffffffff,1.0,0.0,0.0
84838adffffffff,1.0,0.0,0.0
8483acdffffffff,4.0,0.0,2.0
8496009ffffffff,7.0,0.0,0.0
8496015ffffffff,4.0,0.0,0.0
8496019ffffffff,3.0,0.0,0.0
8496021ffffffff,3.0,0.0,3.0
8496025ffffffff,1.0,0.0,0.0
8496047ffffffff,4.0,0.0,0.0
84960b1ffffffff,2.0,0.0,0.0
84960b5ffffffff,6.0,0.0,0.0
8496141ffffffff,15.0,0.0,0.0
8496145ffffffff,3.0,0.0,0.0
8496147ffffffff,3.0,0.0,0.0
8496149ffffffff,9.0,0.0,0.0
849616bffffffff,1.0,0.0,0.0
8496201ffffffff,23.0,0.0,2.0
8496203ffffffff,10.0,0.0,0.0
8496207ffffffff,80.0,0.0,7.0
8496209ffffffff,1.0,0.0,0.0
849620bffffffff,4.0,0.0,0.0
8496213ffffffff,2.0,0.0,0.0
8496215ffffffff,3.0,0.0,0.0
8496217ffffffff,28.0,0.0,0.0
8496219ffffffff,12.0,0.0,2.0
849621dffffffff,8.0,0.0,0.0
849622bffffffff,16.0,0.0,0.0
849622dffffffff,2.0,0.0,0.0
8496233ffffffff,25.0,0.0,5.0
8496239ffffffff,19.0,0.0,6.0
849623bffffffff,24.0,0.0,5.0
8496257ffffffff,11.0,0.0,0.0
8496261ffffffff,2.0,0.0,0.0
8496263ffffffff,26.0,0.0,0.0
8496267ffffffff,2.0,0.0,0.0
8496283ffffffff,22.0,0.0,0.0
8496285ffffffff,1.0,0.0,0.0
8496287ffffffff,2.0,0.0,0.0
849628bffffffff,4.0,0.0,0.0
8496291ffffffff,1.0,0.0,0.0
849629dffffffff,6.0,0.0,0.0
84962b1ffffffff,6.0,0.0,0.0
84962b7ffffffff,2.0,0.0,0.0
84962b9ffffffff,15.0,0.0,2.0
84962c5ffffffff,10.0,0.0,0.0
84962c9ffffffff,79.0,0.0,26.0
84962cdffffffff,9.0,0.0,0.0
84962d1ffffffff,8.0,0.0,7.0
84962d5ffffffff,1.0,0.0,0.0
84962d7ffffffff,16.0,0.0,12.0
84962d9ffffffff,2.0,0.0,0.0
84962e5ffffffff,30.0,0.0,5.0
84962e9ffffffff,2.0,0.0,0.0
84962ebffffffff,5.0,0.0,0.0
84962edffffffff,11.0,0.0,0.0
8496331ffffffff,12.0,0.0,0.0
8496335ffffffff,179.0,0.0,21.0
8496355ffffffff,2.0,0.0,0.0
8496365ffffffff,4.0,0.0,0.0
8496569ffffffff,6.0,0.0,0.0
8496703ffffffff,2.0,0.0,0.0
8496753ffffffff,2.0,0.0,0.0
8496757ffffffff,11.0,0.0,0.0
8496759ffffffff,1.0,0.0,0.0
849675dffffffff,2.0,0.0,2.0
8496829ffffffff,2.0,0.0,0.0
8496861ffffffff,4.0,0.0,0.0
8496885ffffffff,2.0,0.0,0.0
8496901ffffffff,14.0,0.0,0.0
8496905ffffffff,79.0,0.0,0.0
8496907ffffffff,488.0,0.0,7.0
8496909ffffffff,1.0,0.0,0.0
8496921ffffffff,116.0,0.0,0.0
8496923ffffffff,18.0,0.0,0.0
8496925ffffffff,73.0,0.0,0.0
8496929ffffffff,2.0,0.0,0.0
849692bffffffff,420.0,0.0,19.0
849692dffffffff,23.0,0.0,0.0
8496931ffffffff,8.0,0.0,0.0
8496933ffffffff,183.0,0.0,0.0
8496935ffffffff,160.0,0.0,0.0
8496937ffffffff,75.0,0.0,0.0
849693bffffffff,2.0,0.0,0.0
