cell_id,Cossyphicula isabellae,Cossyphicula isabellae batesi,Cossyphicula isabellae isabellae
8458c27ffffffff,1.0,0.0,0.0
8458d13ffffffff,10.0,1.0,0.0
8458d1dffffffff,1.0,0.0,0.0
8458d33ffffffff,3.0,3.0,0.0
8458d37ffffffff,11.0,11.0,0.0
8458dcdffffffff,5.0,1.0,0.0
8482d27ffffffff,6.0,0.0,0.0
8482d3dffffffff,67.0,0.0,28.0
