cell_id,Colaptes rivolii,Colaptes rivolii [rivolii Group],Colaptes rivolii atriceps
846601bffffffff,5.0,0.0,0.0
8466083ffffffff,65.0,0.0,0.0
8466087ffffffff,8.0,0.0,0.0
8466089ffffffff,16.0,0.0,0.0
846608bffffffff,19.0,0.0,0.0
846608dffffffff,4.0,0.0,0.0
8466095ffffffff,16.0,0.0,0.0
846609dffffffff,38.0,0.0,0.0
84660a3ffffffff,1.0,0.0,0.0
84660a7ffffffff,2.0,0.0,0.0
84660b1ffffffff,19.0,0.0,0.0
84660b3ffffffff,4.0,0.0,0.0
84660b5ffffffff,115.0,0.0,0.0
84660b7ffffffff,88.0,2.0,0.0
84660b9ffffffff,120.0,0.0,0.0
84660bbffffffff,76.0,0.0,0.0
84660bdffffffff,139.0,0.0,0.0
84660c1ffffffff,2.0,0.0,0.0
84660c3ffffffff,69.0,0.0,0.0
84660c7ffffffff,1.0,0.0,0.0
84660d5ffffffff,4.0,0.0,0.0
84660ddffffffff,21.0,0.0,0.0
84660e5ffffffff,1.0,0.0,0.0
8466181ffffffff,130.0,1.0,0.0
8466183ffffffff,9.0,0.0,0.0
8466187ffffffff,24.0,0.0,0.0
8466189ffffffff,1.0,0.0,0.0
846618bffffffff,29.0,0.0,0.0
8466193ffffffff,6.0,0.0,0.0
8466197ffffffff,265.0,0.0,0.0
846619bffffffff,2.0,0.0,0.0
846619dffffffff,83.0,1.0,0.0
84661b1ffffffff,9.0,0.0,0.0
84661b3ffffffff,10.0,0.0,0.0
84661b9ffffffff,12.0,0.0,0.0
84661bbffffffff,445.0,3.0,0.0
84661c3ffffffff,2.0,0.0,0.0
84661d1ffffffff,3.0,0.0,0.0
84661d5ffffffff,25.0,0.0,0.0
8466211ffffffff,1.0,0.0,0.0
8466217ffffffff,381.0,0.0,0.0
8466291ffffffff,6.0,0.0,0.0
8466299ffffffff,29.0,0.0,0.0
84662b1ffffffff,12.0,0.0,0.0
84662bbffffffff,1.0,0.0,0.0
84662d3ffffffff,6.0,0.0,0.0
84662e5ffffffff,2.0,0.0,0.0
84662edffffffff,9.0,0.0,0.0
8466c0dffffffff,28.0,0.0,0.0
8466c21ffffffff,94.0,0.0,0.0
8466c25ffffffff,29.0,0.0,0.0
8466c29ffffffff,5.0,0.0,0.0
8466c2dffffffff,26.0,0.0,0.0
8466c45ffffffff,4.0,0.0,0.0
8466c47ffffffff,23.0,0.0,0.0
8466c49ffffffff,2.0,0.0,0.0
8466c4bffffffff,6.0,0.0,0.0
8466c4dffffffff,20.0,0.0,0.0
8466c61ffffffff,53.0,0.0,0.0
8466c63ffffffff,40.0,0.0,0.0
8466c65ffffffff,1.0,0.0,0.0
8466c67ffffffff,85.0,0.0,0.0
8466c69ffffffff,163.0,0.0,0.0
8466c6bffffffff,59.0,0.0,0.0
8466c6dffffffff,47.0,0.0,0.0
8466d03ffffffff,17.0,0.0,0.0
8466d07ffffffff,2.0,0.0,0.0
8466d11ffffffff,15.0,0.0,0.0
8466d15ffffffff,18.0,0.0,0.0
8466d17ffffffff,3.0,0.0,0.0
8466d19ffffffff,34.0,0.0,0.0
8466d1dffffffff,9.0,0.0,0.0
8466d25ffffffff,2.0,0.0,0.0
8466d31ffffffff,1496.0,51.0,0.0
8466d33ffffffff,614.0,8.0,0.0
8466d35ffffffff,2.0,0.0,0.0
8466d37ffffffff,39.0,4.0,0.0
8466d39ffffffff,61.0,0.0,0.0
8466d3bffffffff,77.0,1.0,0.0
8466d53ffffffff,115.0,0.0,0.0
8466d59ffffffff,3.0,0.0,0.0
8466d5bffffffff,21.0,0.0,0.0
8466de1ffffffff,508.0,23.0,0.0
8466de5ffffffff,22.0,0.0,0.0
8466dedffffffff,160.0,10.0,0.0
8466e01ffffffff,1.0,0.0,0.0
8466e09ffffffff,128.0,0.0,0.0
8466e0bffffffff,35.0,0.0,0.0
8466e0dffffffff,4.0,0.0,0.0
8466e27ffffffff,4.0,0.0,0.0
8466e2dffffffff,37.0,0.0,0.0
8466e41ffffffff,23.0,0.0,0.0
8466e43ffffffff,628.0,4.0,0.0
8466e47ffffffff,121.0,0.0,0.0
8466e49ffffffff,69.0,0.0,0.0
8466e4bffffffff,31.0,0.0,0.0
8466e51ffffffff,2.0,0.0,0.0
8466e55ffffffff,199.0,0.0,0.0
8466e59ffffffff,3.0,1.0,0.0
8466e5dffffffff,46.0,0.0,0.0
8466e61ffffffff,137.0,0.0,0.0
8466e65ffffffff,612.0,13.0,0.0
8466e67ffffffff,480.0,0.0,0.0
8466e69ffffffff,24.0,0.0,0.0
8466e6dffffffff,2688.0,30.0,0.0
8466f0bffffffff,2.0,0.0,0.0
8466f11ffffffff,1.0,0.0,0.0
8466f13ffffffff,8.0,0.0,0.0
8466f15ffffffff,1.0,0.0,0.0
8466f19ffffffff,170.0,0.0,0.0
8466f1dffffffff,18.0,0.0,0.0
8466f33ffffffff,1.0,0.0,0.0
8466f37ffffffff,1.0,0.0,0.0
8466f53ffffffff,111.0,1.0,0.0
8466f57ffffffff,2.0,0.0,0.0
8466f5bffffffff,157.0,0.0,0.0
8466f5dffffffff,2.0,0.0,0.0
84675adffffffff,12.0,0.0,0.0
848b203ffffffff,1.0,0.0,0.0
848b205ffffffff,1.0,0.0,0.0
848b211ffffffff,3.0,0.0,0.0
848b2c1ffffffff,10.0,0.0,0.0
848b2c5ffffffff,8.0,0.0,0.0
848b2cdffffffff,58.0,0.0,0.0
848b2d9ffffffff,4.0,0.0,0.0
848b2dbffffffff,12.0,0.0,0.0
848b611ffffffff,21.0,0.0,0.0
848b613ffffffff,3.0,0.0,0.0
848b617ffffffff,359.0,0.0,8.0
848b61bffffffff,2.0,0.0,0.0
848b6c1ffffffff,5.0,0.0,0.0
848b6c5ffffffff,37.0,0.0,0.0
848b6c9ffffffff,12.0,0.0,0.0
848b6cdffffffff,73.0,0.0,1.0
848b759ffffffff,2.0,0.0,0.0
848e60bffffffff,1.0,0.0,0.0
848e619ffffffff,2.0,0.0,0.0
