cell_id,Cercotrichas leucophrys,Cercotrichas leucophrys [leucoptera Group],Cercotrichas leucophrys [leucophrys Group]
847a405ffffffff,2.0,2.0,0.0
847a413ffffffff,9.0,8.0,0.0
847a4b5ffffffff,1.0,0.0,1.0
847a4ddffffffff,3.0,0.0,0.0
847a5c1ffffffff,1.0,1.0,0.0
847a6b5ffffffff,2.0,0.0,0.0
847a6e1ffffffff,4.0,4.0,0.0
847a6e5ffffffff,3.0,0.0,3.0
847b4a1ffffffff,2.0,0.0,0.0
847b4a5ffffffff,6.0,0.0,0.0
8496907ffffffff,2.0,0.0,2.0
849703dffffffff,2.0,0.0,2.0
84970c5ffffffff,3.0,0.0,3.0
849728dffffffff,4.0,0.0,0.0
84972e3ffffffff,3.0,0.0,0.0
8497681ffffffff,2.0,0.0,0.0
84bcca1ffffffff,2.0,0.0,2.0
84bcd05ffffffff,1.0,0.0,1.0
84bcd23ffffffff,1.0,0.0,0.0
84bcd29ffffffff,2.0,0.0,2.0
84bcd63ffffffff,1.0,0.0,1.0
84bcd67ffffffff,1.0,0.0,1.0
84bcdc9ffffffff,4.0,0.0,4.0
84bcdebffffffff,2.0,0.0,0.0
