cell_id,Megascops asio,Megascops asio [asio Group],Megascops asio mccallii
822607fffffffff,212.0,26.0,0.0
82260ffffffffff,192.0,14.0,0.0
822617fffffffff,62.0,1.0,0.0
82261ffffffffff,63.0,0.0,0.0
822627fffffffff,69.0,10.0,0.0
82262ffffffffff,93.0,0.0,0.0
822637fffffffff,63.0,3.0,0.0
822647fffffffff,537.0,15.0,0.0
82264ffffffffff,1056.0,5.0,0.0
822657fffffffff,616.0,8.0,0.0
82265ffffffffff,315.0,3.0,0.0
822667fffffffff,1409.0,57.0,0.0
82266ffffffffff,1019.0,31.0,0.0
822677fffffffff,248.0,5.0,0.0
822687fffffffff,508.0,0.0,0.0
82268ffffffffff,265.0,0.0,0.0
8226a7fffffffff,47.0,0.0,0.0
8226affffffffff,912.0,10.0,0.0
8226c7fffffffff,72.0,0.0,0.0
8226cffffffffff,671.0,0.0,0.0
8226d7fffffffff,73.0,0.0,0.0
8226dffffffffff,130.0,0.0,0.0
8226e7fffffffff,419.0,9.0,0.0
8226effffffffff,228.0,2.0,0.0
8226f7fffffffff,156.0,3.0,0.0
822707fffffffff,133.0,0.0,0.0
822717fffffffff,10.0,0.0,0.0
82271ffffffffff,48.0,0.0,0.0
822747fffffffff,142.0,0.0,0.0
82274ffffffffff,2375.0,0.0,0.0
822757fffffffff,211.0,11.0,0.0
82275ffffffffff,1624.0,35.0,0.0
82276ffffffffff,280.0,15.0,0.0
822787fffffffff,61.0,0.0,0.0
82278ffffffffff,40.0,4.0,0.0
822797fffffffff,3.0,0.0,0.0
82279ffffffffff,38.0,0.0,0.0
8227affffffffff,61.0,0.0,0.0
8227b7fffffffff,5.0,0.0,0.0
822a17fffffffff,4929.0,163.0,0.0
822a37fffffffff,5156.0,860.0,0.0
822a87fffffffff,1779.0,31.0,0.0
822a8ffffffffff,1730.0,52.0,0.0
822a97fffffffff,1223.0,2.0,0.0
822a9ffffffffff,794.0,26.0,0.0
822aa7fffffffff,3641.0,740.0,0.0
822aaffffffffff,8831.0,416.0,0.0
822ab7fffffffff,11205.0,130.0,0.0
822ad7fffffffff,350.0,0.0,0.0
822af7fffffffff,1681.0,37.0,0.0
822b87fffffffff,919.0,44.0,0.0
822b8ffffffffff,1469.0,241.0,0.0
822b9ffffffffff,3449.0,422.0,0.0
822baffffffffff,2751.0,0.0,0.0
824417fffffffff,1161.0,21.0,0.0
82441ffffffffff,1215.0,38.0,0.0
824447fffffffff,1148.0,0.0,0.0
82444ffffffffff,758.0,0.0,0.0
824457fffffffff,325.0,6.0,0.0
82445ffffffffff,155.0,7.0,0.0
824467fffffffff,41.0,0.0,0.0
82446ffffffffff,1704.0,16.0,0.0
824477fffffffff,71.0,0.0,0.0
8244a7fffffffff,841.0,21.0,0.0
8244affffffffff,1568.0,13.0,0.0
8244c7fffffffff,410.0,23.0,0.0
8244cffffffffff,1282.0,24.0,0.0
8244d7fffffffff,845.0,18.0,0.0
8244dffffffffff,1026.0,33.0,0.0
8244e7fffffffff,344.0,29.0,0.0
8244effffffffff,269.0,8.0,0.0
8244f7fffffffff,1183.0,57.0,0.0
824887fffffffff,358.0,0.0,54.0
82488ffffffffff,97.0,0.0,0.0
824897fffffffff,158.0,0.0,6.0
82489ffffffffff,1784.0,11.0,6.0
8248a7fffffffff,193.0,0.0,0.0
8248b7fffffffff,6960.0,0.0,2742.0
82499ffffffffff,15.0,0.0,0.0
