cell_id,Scytalopus argentifrons,Scytalopus argentifrons argentifrons,Scytalopus argentifrons chiriquensis
8366a2fffffffff,45.0,3.0,0.0
8366b4fffffffff,2761.0,0.0,0.0
8366b5fffffffff,1210.0,98.0,3.0
83679afffffffff,32.0,0.0,0.0
836d68fffffffff,9.0,0.0,0.0
836d69fffffffff,3033.0,0.0,0.0
