cell_id,Prinia rufifrons,Prinia rufifrons rufifrons/smithi,Prinia rufifrons rufidorsalis
8452893ffffffff,6.0,0.0,0.0
84529b7ffffffff,1.0,0.0,0.0
8452ca9ffffffff,2.0,0.0,0.0
8452d3bffffffff,1.0,0.0,0.0
8452d41ffffffff,13.0,0.0,0.0
8452d45ffffffff,17.0,0.0,0.0
8452d47ffffffff,5.0,0.0,0.0
8452d4dffffffff,1.0,0.0,0.0
8452d6bffffffff,4.0,0.0,0.0
8452d85ffffffff,1.0,0.0,0.0
8452dc5ffffffff,2.0,0.0,0.0
8452de7ffffffff,1.0,0.0,0.0
8452dedffffffff,2.0,0.0,0.0
846a4a3ffffffff,1.0,0.0,0.0
846a581ffffffff,54.0,0.0,0.0
846a583ffffffff,13.0,0.0,0.0
846a587ffffffff,17.0,0.0,0.0
846a5b3ffffffff,9.0,0.0,0.0
846a5bbffffffff,18.0,0.0,0.0
847a401ffffffff,31.0,0.0,0.0
847a403ffffffff,20.0,0.0,0.0
847a405ffffffff,13.0,0.0,0.0
847a407ffffffff,54.0,0.0,0.0
847a413ffffffff,170.0,0.0,0.0
847a41bffffffff,2.0,0.0,0.0
847a41dffffffff,1.0,0.0,0.0
847a483ffffffff,1.0,0.0,0.0
847a4b1ffffffff,7.0,0.0,0.0
847a4cdffffffff,5.0,0.0,0.0
847a4e9ffffffff,1.0,0.0,0.0
847a503ffffffff,2.0,0.0,0.0
847a593ffffffff,13.0,0.0,0.0
847a59bffffffff,13.0,0.0,0.0
847a5a5ffffffff,6.0,0.0,0.0
847a5b3ffffffff,1.0,0.0,0.0
847a5c1ffffffff,1.0,0.0,0.0
847a5e3ffffffff,1.0,0.0,0.0
847a609ffffffff,14.0,0.0,0.0
847a60bffffffff,8.0,0.0,0.0
847a611ffffffff,10.0,0.0,0.0
847a613ffffffff,2.0,0.0,0.0
847a615ffffffff,1.0,0.0,0.0
847a619ffffffff,8.0,0.0,0.0
847a61bffffffff,8.0,0.0,0.0
847a61dffffffff,8.0,0.0,0.0
847a63dffffffff,1.0,0.0,0.0
847a641ffffffff,35.0,0.0,0.0
847a643ffffffff,7.0,0.0,0.0
847a647ffffffff,6.0,0.0,0.0
847a651ffffffff,9.0,0.0,0.0
847a653ffffffff,12.0,3.0,0.0
847a655ffffffff,6.0,0.0,0.0
847a659ffffffff,51.0,0.0,0.0
847a65bffffffff,23.0,0.0,0.0
847a65dffffffff,2.0,0.0,0.0
847a669ffffffff,2.0,0.0,0.0
847a6c1ffffffff,2.0,0.0,0.0
847a6c9ffffffff,3.0,0.0,0.0
847a6e1ffffffff,40.0,0.0,0.0
847a6ebffffffff,17.0,0.0,0.0
847a715ffffffff,2.0,0.0,0.0
847a73bffffffff,4.0,0.0,0.0
847ac15ffffffff,2.0,1.0,0.0
847ac87ffffffff,1.0,0.0,0.0
847aca5ffffffff,4.0,0.0,0.0
847acc5ffffffff,1.0,0.0,0.0
847acd5ffffffff,5.0,0.0,0.0
847ad91ffffffff,16.0,1.0,0.0
847ad93ffffffff,2.0,0.0,0.0
847ad95ffffffff,9.0,0.0,0.0
847ad99ffffffff,62.0,6.0,0.0
847ad9dffffffff,11.0,0.0,0.0
847adb1ffffffff,3.0,0.0,0.0
847ae81ffffffff,3.0,0.0,0.0
847ae85ffffffff,5.0,0.0,0.0
847ae8bffffffff,1.0,0.0,0.0
847ae99ffffffff,6.0,0.0,0.0
847ae9bffffffff,5.0,0.0,0.0
847aea3ffffffff,4.0,0.0,0.0
847aee3ffffffff,1.0,0.0,0.0
847b4b1ffffffff,4.0,0.0,0.0
847b4b3ffffffff,4.0,0.0,0.0
847b4b7ffffffff,2.0,0.0,0.0
8496907ffffffff,3.0,0.0,0.0
8496921ffffffff,4.0,0.0,0.0
8496923ffffffff,1.0,0.0,0.0
8496925ffffffff,156.0,30.0,0.0
8496927ffffffff,2.0,0.0,0.0
849692dffffffff,54.0,4.0,0.0
8496937ffffffff,2.0,0.0,0.0
849693dffffffff,1.0,0.0,0.0
8496967ffffffff,1.0,0.0,0.0
