cell_id,Megapodius freycinet,Megapodius freycinet [freycinet Group],Megapodius freycinet forsteni/buruensis
8473901ffffffff,30.0,16.0,0.0
8473905ffffffff,34.0,34.0,0.0
8473907ffffffff,37.0,37.0,0.0
8473909ffffffff,2.0,2.0,0.0
847390bffffffff,77.0,62.0,0.0
847390dffffffff,34.0,33.0,0.0
8473925ffffffff,6.0,6.0,0.0
8473939ffffffff,1.0,1.0,0.0
8473951ffffffff,5.0,5.0,0.0
8473955ffffffff,3.0,3.0,0.0
847395bffffffff,5.0,5.0,0.0
847395dffffffff,1.0,1.0,0.0
8473987ffffffff,4.0,4.0,0.0
84739a1ffffffff,42.0,33.0,0.0
84739a3ffffffff,2.0,2.0,0.0
84739a9ffffffff,5.0,4.0,0.0
84739abffffffff,246.0,193.0,0.0
84739adffffffff,5.0,5.0,0.0
84739b5ffffffff,2.0,2.0,0.0
84739e3ffffffff,1.0,0.0,0.0
8495449ffffffff,7.0,0.0,7.0
849544bffffffff,11.0,0.0,11.0
849545bffffffff,10.0,0.0,10.0
8495613ffffffff,8.0,1.0,0.0
84956a5ffffffff,23.0,0.0,20.0
84956abffffffff,2.0,0.0,2.0
84956adffffffff,1.0,0.0,1.0
84956bdffffffff,10.0,0.0,10.0
84956c3ffffffff,3.0,0.0,0.0
84956c7ffffffff,3.0,3.0,0.0
84956d3ffffffff,4.0,3.0,0.0
