cell_id,Tchagra senegalus,Tchagra senegalus cucullatus,Tchagra senegalus [senegalus Group]
823837fffffffff,9.0,1.0,0.0
823867fffffffff,2.0,0.0,0.0
82386ffffffffff,3.0,0.0,0.0
82391ffffffffff,120.0,2.0,0.0
823987fffffffff,50.0,2.0,0.0
823997fffffffff,359.0,39.0,0.0
82399ffffffffff,26.0,2.0,0.0
8239affffffffff,87.0,24.0,0.0
825217fffffffff,10.0,0.0,0.0
82521ffffffffff,3.0,0.0,0.0
825237fffffffff,8.0,0.0,0.0
82524ffffffffff,7.0,0.0,0.0
825287fffffffff,10.0,0.0,0.0
82528ffffffffff,2.0,0.0,0.0
825297fffffffff,3.0,0.0,0.0
82529ffffffffff,90.0,0.0,10.0
8252a7fffffffff,1.0,0.0,0.0
8252b7fffffffff,1.0,0.0,0.0
8252d7fffffffff,4.0,0.0,0.0
825407fffffffff,1.0,0.0,0.0
82540ffffffffff,2.0,0.0,0.0
825417fffffffff,78.0,0.0,26.0
82541ffffffffff,165.0,0.0,30.0
825447fffffffff,4.0,0.0,0.0
82544ffffffffff,1.0,0.0,0.0
825457fffffffff,1.0,0.0,1.0
8254affffffffff,203.0,0.0,21.0
8254e7fffffffff,74.0,0.0,6.0
8254effffffffff,4.0,0.0,0.0
8254f7fffffffff,106.0,0.0,8.0
82580ffffffffff,6.0,0.0,0.0
82585ffffffffff,2.0,0.0,0.0
825897fffffffff,34.0,0.0,2.0
8258a7fffffffff,6.0,0.0,0.0
8258b7fffffffff,11.0,0.0,0.0
8258c7fffffffff,4.0,0.0,0.0
8258cffffffffff,5.0,0.0,0.0
8258dffffffffff,13.0,0.0,0.0
8258e7fffffffff,101.0,0.0,0.0
8258f7fffffffff,1.0,0.0,0.0
825987fffffffff,12.0,0.0,0.0
82599ffffffffff,36.0,0.0,1.0
826337fffffffff,159.0,0.0,34.0
826a17fffffffff,2.0,0.0,0.0
826a47fffffffff,11.0,0.0,0.0
826a4ffffffffff,9.0,0.0,0.0
826a5ffffffffff,71.0,0.0,3.0
826a67fffffffff,9.0,0.0,0.0
826a6ffffffffff,12.0,0.0,1.0
826ac7fffffffff,234.0,0.0,20.0
826acffffffffff,127.0,0.0,6.0
826adffffffffff,102.0,0.0,4.0
826ae7fffffffff,3.0,0.0,0.0
826aeffffffffff,453.0,0.0,63.0
826b17fffffffff,6.0,0.0,0.0
82750ffffffffff,104.0,0.0,9.0
827517fffffffff,1.0,0.0,0.0
827527fffffffff,189.0,0.0,32.0
82752ffffffffff,128.0,0.0,12.0
827537fffffffff,5.0,0.0,0.0
827577fffffffff,57.0,0.0,6.0
8275a7fffffffff,2.0,0.0,0.0
827a47fffffffff,108.0,0.0,0.0
827a4ffffffffff,160.0,0.0,5.0
827a67fffffffff,149.0,0.0,0.0
827a6ffffffffff,343.0,0.0,0.0
827ac7fffffffff,2.0,0.0,2.0
827acffffffffff,95.0,0.0,10.0
827adffffffffff,93.0,0.0,18.0
827aeffffffffff,7.0,0.0,0.0
827b4ffffffffff,70.0,0.0,0.0
827b5ffffffffff,196.0,0.0,0.0
827b6ffffffffff,25.0,0.0,0.0
8282a7fffffffff,11.0,0.0,0.0
828317fffffffff,4.0,0.0,0.0
828327fffffffff,3.0,0.0,0.0
828337fffffffff,7.0,0.0,3.0
828387fffffffff,1.0,0.0,0.0
82838ffffffffff,2.0,0.0,0.0
82839ffffffffff,7.0,0.0,0.0
8283a7fffffffff,9.0,0.0,1.0
8283affffffffff,7.0,0.0,2.0
829607fffffffff,42.0,0.0,4.0
82960ffffffffff,89.0,0.0,8.0
829617fffffffff,20.0,0.0,6.0
829627fffffffff,104.0,0.0,19.0
82962ffffffffff,97.0,0.0,20.0
829637fffffffff,63.0,0.0,2.0
829647fffffffff,1.0,0.0,0.0
829657fffffffff,4.0,0.0,0.0
829667fffffffff,2.0,0.0,0.0
829677fffffffff,15.0,0.0,0.0
82968ffffffffff,8.0,0.0,2.0
829697fffffffff,431.0,0.0,14.0
82969ffffffffff,4.0,0.0,0.0
8296a7fffffffff,21.0,0.0,0.0
8296affffffffff,18.0,0.0,1.0
8296b7fffffffff,97.0,0.0,24.0
8296e7fffffffff,2.0,0.0,0.0
829707fffffffff,137.0,0.0,3.0
82970ffffffffff,24.0,0.0,0.0
829717fffffffff,407.0,0.0,3.0
82971ffffffffff,90.0,0.0,6.0
829727fffffffff,29.0,0.0,0.0
82972ffffffffff,326.0,0.0,83.0
829737fffffffff,18.0,0.0,0.0
829747fffffffff,122.0,0.0,6.0
82974ffffffffff,117.0,0.0,40.0
829757fffffffff,125.0,0.0,24.0
82975ffffffffff,184.0,0.0,27.0
829777fffffffff,12.0,0.0,0.0
829787fffffffff,2.0,0.0,0.0
82978ffffffffff,21.0,0.0,1.0
829797fffffffff,2.0,0.0,0.0
82979ffffffffff,12.0,0.0,0.0
8297affffffffff,28.0,0.0,12.0
82ac87fffffffff,8.0,0.0,0.0
82ac97fffffffff,10.0,0.0,1.0
82acb7fffffffff,3.0,0.0,0.0
82bc0ffffffffff,7.0,0.0,0.0
82bc1ffffffffff,8.0,0.0,0.0
82bc57fffffffff,1.0,0.0,0.0
82bc77fffffffff,2.0,0.0,0.0
82bc8ffffffffff,119.0,0.0,33.0
82bc9ffffffffff,16.0,0.0,0.0
82bcc7fffffffff,43.0,0.0,7.0
82bccffffffffff,2.0,0.0,0.0
82bcd7fffffffff,1459.0,0.0,238.0
82bcdffffffffff,183.0,0.0,22.0
82bce7fffffffff,60.0,0.0,22.0
82bcf7fffffffff,959.0,0.0,225.0
