cell_id,Accipiter rufiventris,Accipiter rufiventris perspicillaris,Accipiter rufiventris rufiventris
825287fffffffff,4.0,0.0,0.0
82529ffffffffff,21.0,7.0,0.0
826a5ffffffffff,1.0,0.0,0.0
826ac7fffffffff,3.0,0.0,0.0
826acffffffffff,3.0,0.0,1.0
826adffffffffff,32.0,0.0,2.0
826aeffffffffff,2.0,0.0,0.0
827a47fffffffff,23.0,0.0,0.0
827a4ffffffffff,1.0,0.0,0.0
827a67fffffffff,2.0,0.0,0.0
827a6ffffffffff,12.0,0.0,0.0
827ac7fffffffff,1.0,0.0,0.0
827acffffffffff,46.0,22.0,0.0
827adffffffffff,9.0,4.0,0.0
827aeffffffffff,6.0,0.0,0.0
827b4ffffffffff,4.0,0.0,0.0
829697fffffffff,29.0,0.0,0.0
8296a7fffffffff,16.0,0.0,2.0
829707fffffffff,17.0,0.0,0.0
82971ffffffffff,1.0,0.0,0.0
82972ffffffffff,19.0,0.0,0.0
82ad37fffffffff,211.0,0.0,45.0
82bc1ffffffffff,4.0,0.0,0.0
82bc47fffffffff,4.0,0.0,2.0
82bc4ffffffffff,17.0,0.0,3.0
82bc57fffffffff,5.0,0.0,2.0
82bc5ffffffffff,3.0,0.0,1.0
82bc6ffffffffff,40.0,0.0,4.0
82bc77fffffffff,1.0,0.0,0.0
82bcc7fffffffff,5.0,0.0,0.0
82bcd7fffffffff,29.0,0.0,2.0
82bcdffffffffff,2.0,0.0,0.0
82bce7fffffffff,55.0,0.0,11.0
82bcf7fffffffff,22.0,0.0,6.0
