cell_id,Corythornis cristatus,Corythornis cristatus [cristatus Group],Corythornis cristatus thomensis,Corythornis cristatus nais
837a6dfffffffff,19.0,2.0,0.0,0.0
837a6efffffffff,419.0,45.0,0.0,0.0
837ac8fffffffff,178.0,0.0,0.0,0.0
837ac9fffffffff,4.0,0.0,0.0,0.0
837acafffffffff,53.0,0.0,0.0,0.0
837accfffffffff,1.0,0.0,0.0,0.0
837acdfffffffff,214.0,0.0,0.0,0.0
837ad9fffffffff,47.0,0.0,0.0,0.0
837aebfffffffff,2.0,0.0,0.0,0.0
837b48fffffffff,22.0,5.0,0.0,0.0
837b4afffffffff,22.0,2.0,0.0,0.0
837b4bfffffffff,11.0,0.0,0.0,0.0
837b4cfffffffff,1.0,0.0,0.0,0.0
837b4dfffffffff,14.0,0.0,0.0,0.0
837b59fffffffff,89.0,8.0,0.0,0.0
837b5bfffffffff,22.0,2.0,0.0,0.0
837b6afffffffff,1.0,0.0,0.0,0.0
837b6bfffffffff,47.0,2.0,0.0,0.0
838218fffffffff,4.0,0.0,0.0,0.0
83821bfffffffff,4.0,1.0,0.0,0.0
83828bfffffffff,10.0,0.0,0.0,0.0
8382a9fffffffff,3.0,0.0,0.0,0.0
8382b2fffffffff,1.0,0.0,0.0,0.0
8382b3fffffffff,1.0,0.0,0.0,0.0
8382c0fffffffff,53.0,0.0,0.0,46.0
8382c6fffffffff,8.0,0.0,0.0,6.0
8382d0fffffffff,8.0,0.0,0.0,0.0
8382d4fffffffff,4.0,1.0,0.0,0.0
8382d6fffffffff,3.0,0.0,0.0,0.0
8382d8fffffffff,2.0,0.0,0.0,0.0
8382e3fffffffff,35.0,0.0,18.0,0.0
8382f0fffffffff,10.0,3.0,0.0,0.0
8382f2fffffffff,6.0,6.0,0.0,0.0
8382f4fffffffff,12.0,0.0,0.0,0.0
838310fffffffff,1.0,1.0,0.0,0.0
838311fffffffff,5.0,0.0,0.0,0.0
838314fffffffff,2.0,0.0,0.0,0.0
838315fffffffff,7.0,1.0,0.0,0.0
83831efffffffff,14.0,1.0,0.0,0.0
838320fffffffff,3.0,0.0,0.0,0.0
838326fffffffff,2.0,0.0,0.0,0.0
838330fffffffff,4.0,0.0,0.0,0.0
838332fffffffff,1.0,0.0,0.0,0.0
838336fffffffff,1.0,0.0,0.0,0.0
83838efffffffff,5.0,0.0,0.0,0.0
838395fffffffff,1.0,0.0,0.0,0.0
8383acfffffffff,1.0,0.0,0.0,0.0
839600fffffffff,2.0,0.0,0.0,0.0
839601fffffffff,2.0,0.0,0.0,0.0
