cell_id,Junco phaeonotus,Junco phaeonotus phaeonotus/palliatus,Junco phaeonotus fulvescens,Junco phaeonotus alticola
824817fffffffff,886.0,69.0,0.0,0.0
82481ffffffffff,179.0,32.0,0.0,0.0
824837fffffffff,236.0,25.0,0.0,0.0
8248a7fffffffff,650.0,0.0,0.0,0.0
8248affffffffff,2.0,0.0,0.0,0.0
8248c7fffffffff,11695.0,0.0,0.0,0.0
8248cffffffffff,5.0,0.0,0.0,0.0
8248e7fffffffff,381.0,17.0,0.0,0.0
8248effffffffff,28698.0,192.0,0.0,0.0
824987fffffffff,1916.0,233.0,0.0,0.0
82498ffffffffff,178.0,0.0,0.0,0.0
824997fffffffff,4622.0,800.0,0.0,0.0
82499ffffffffff,223.0,7.0,0.0,0.0
8249affffffffff,369.0,90.0,0.0,0.0
8249b7fffffffff,386.0,22.0,0.0,0.0
826d17fffffffff,17.0,9.0,0.0,0.0
826d27fffffffff,433.0,0.0,211.0,0.0
826d2ffffffffff,1697.0,0.0,0.0,1024.0
826d37fffffffff,2371.0,665.0,0.0,0.0
