cell_id,Pyrrhura melanura,Pyrrhura melanura pacifica,Pyrrhura melanura chapmani,Pyrrhura melanura [melanura Group]
835f40fffffffff,8.0,0.0,0.0,0.0
836641fffffffff,137.0,0.0,0.0,0.0
836648fffffffff,1.0,0.0,0.0,0.0
83665afffffffff,415.0,0.0,0.0,26.0
83665bfffffffff,278.0,0.0,0.0,15.0
83665efffffffff,14.0,0.0,0.0,0.0
836663fffffffff,5.0,0.0,0.0,0.0
83666bfffffffff,3.0,0.0,0.0,0.0
83666efffffffff,6.0,0.0,0.0,0.0
8366c0fffffffff,282.0,0.0,0.0,0.0
8366c1fffffffff,15.0,0.0,0.0,0.0
8366c2fffffffff,303.0,0.0,10.0,10.0
8366c3fffffffff,14.0,0.0,0.0,0.0
8366c4fffffffff,122.0,0.0,0.0,0.0
8366c5fffffffff,63.0,0.0,0.0,0.0
8366c6fffffffff,371.0,0.0,0.0,0.0
8366c8fffffffff,1.0,0.0,0.0,0.0
8366c9fffffffff,8.0,0.0,0.0,0.0
8366cdfffffffff,9.0,0.0,0.0,0.0
8366cefffffffff,60.0,0.0,0.0,2.0
8366d0fffffffff,1892.0,640.0,0.0,0.0
8366d1fffffffff,187.0,0.0,0.0,10.0
8366d2fffffffff,6.0,2.0,0.0,0.0
8366d3fffffffff,2891.0,758.0,0.0,0.0
8366d8fffffffff,53.0,0.0,0.0,4.0
8366dafffffffff,79.0,0.0,0.0,0.0
8366dbfffffffff,5.0,0.0,0.0,2.0
8366dcfffffffff,229.0,0.0,0.0,11.0
8366ddfffffffff,60.0,0.0,0.0,9.0
8366defffffffff,1351.0,0.0,0.0,106.0
8366e3fffffffff,27.0,0.0,0.0,0.0
8366e8fffffffff,19.0,0.0,0.0,0.0
8366e9fffffffff,6.0,0.0,0.0,0.0
8366eafffffffff,15.0,0.0,0.0,0.0
8366ecfffffffff,66.0,0.0,0.0,0.0
8366eefffffffff,11.0,0.0,0.0,0.0
8366f1fffffffff,1.0,0.0,0.0,0.0
838a43fffffffff,4.0,0.0,0.0,0.0
838a45fffffffff,148.0,0.0,0.0,3.0
838a4bfffffffff,8.0,0.0,0.0,0.0
838a52fffffffff,2.0,0.0,0.0,0.0
838a5afffffffff,3.0,0.0,0.0,0.0
838a63fffffffff,1.0,0.0,0.0,0.0
838a68fffffffff,19.0,0.0,0.0,0.0
838a69fffffffff,112.0,0.0,0.0,0.0
838a6bfffffffff,1.0,0.0,0.0,0.0
838a6dfffffffff,231.0,0.0,0.0,0.0
838a6efffffffff,1.0,0.0,0.0,0.0
838af0fffffffff,29.0,0.0,0.0,0.0
838af1fffffffff,7.0,0.0,0.0,0.0
838af4fffffffff,5.0,0.0,0.0,0.0
838e64fffffffff,1.0,0.0,0.0,0.0
838f29fffffffff,2.0,0.0,0.0,0.0
838f2bfffffffff,6.0,0.0,0.0,0.0
838f2cfffffffff,24.0,0.0,0.0,0.0
838f40fffffffff,42.0,0.0,0.0,2.0
838f43fffffffff,1.0,0.0,0.0,0.0
838f5dfffffffff,9.0,0.0,0.0,0.0
838f61fffffffff,71.0,0.0,0.0,0.0
838f63fffffffff,4.0,0.0,0.0,0.0
838f65fffffffff,71.0,0.0,0.0,0.0
838f6cfffffffff,5.0,0.0,0.0,0.0
838f71fffffffff,9.0,0.0,0.0,0.0
838f74fffffffff,11.0,0.0,0.0,0.0
838f76fffffffff,6.0,0.0,0.0,0.0
