cell_id,Branta hutchinsii,Branta hutchinsii leucopareia,Branta hutchinsii hutchinsii,Branta hutchinsii minima,Branta hutchinsii taverneri
8202cffffffffff,10.0,0.0,0.0,0.0,0.0
820747fffffffff,16.0,0.0,0.0,0.0,0.0
820757fffffffff,4.0,0.0,0.0,0.0,0.0
82075ffffffffff,2.0,0.0,0.0,0.0,0.0
820807fffffffff,2.0,0.0,0.0,0.0,0.0
82088ffffffffff,2.0,0.0,0.0,0.0,0.0
820c17fffffffff,12.0,0.0,0.0,2.0,6.0
820c47fffffffff,30.0,5.0,0.0,10.0,2.0
820c57fffffffff,86.0,2.0,0.0,2.0,3.0
820c5ffffffffff,142.0,25.0,0.0,24.0,0.0
820c67fffffffff,9.0,0.0,0.0,9.0,0.0
820c6ffffffffff,2.0,2.0,0.0,0.0,0.0
820c77fffffffff,262.0,3.0,0.0,9.0,2.0
820ca7fffffffff,24.0,0.0,0.0,0.0,10.0
820cc7fffffffff,1.0,0.0,0.0,0.0,0.0
820ccffffffffff,1.0,0.0,0.0,0.0,0.0
820cdffffffffff,116.0,0.0,0.0,0.0,111.0
820ceffffffffff,3.0,0.0,0.0,0.0,0.0
820cf7fffffffff,1.0,0.0,0.0,0.0,0.0
820d0ffffffffff,7.0,0.0,0.0,0.0,7.0
820d57fffffffff,1.0,0.0,0.0,0.0,1.0
820e6ffffffffff,1.0,0.0,1.0,0.0,0.0
820e87fffffffff,29.0,0.0,0.0,0.0,0.0
820ecffffffffff,50.0,0.0,0.0,0.0,0.0
820eeffffffffff,59.0,0.0,0.0,0.0,0.0
82121ffffffffff,11.0,0.0,0.0,0.0,0.0
821257fffffffff,33.0,0.0,9.0,0.0,1.0
82125ffffffffff,14.0,0.0,0.0,0.0,0.0
821277fffffffff,17.0,0.0,0.0,0.0,0.0
82128ffffffffff,11.0,0.0,0.0,0.0,0.0
821297fffffffff,15.0,3.0,0.0,12.0,0.0
82129ffffffffff,6.0,0.0,0.0,1.0,0.0
8212affffffffff,4.0,0.0,0.0,0.0,0.0
8212b7fffffffff,53.0,4.0,0.0,23.0,0.0
8212c7fffffffff,5.0,0.0,0.0,0.0,0.0
8212cffffffffff,277.0,0.0,4.0,0.0,0.0
8212d7fffffffff,50.0,0.0,0.0,7.0,0.0
8212dffffffffff,98.0,0.0,4.0,14.0,8.0
8212e7fffffffff,22.0,0.0,2.0,0.0,0.0
8212effffffffff,195.0,0.0,0.0,0.0,0.0
8212f7fffffffff,10.0,0.0,0.0,0.0,0.0
821387fffffffff,168.0,0.0,0.0,80.0,2.0
82138ffffffffff,2.0,0.0,0.0,0.0,0.0
821397fffffffff,5.0,0.0,0.0,5.0,0.0
82139ffffffffff,11.0,0.0,0.0,7.0,0.0
8213b7fffffffff,11.0,0.0,0.0,7.0,0.0
821657fffffffff,109.0,107.0,0.0,0.0,0.0
821827fffffffff,23.0,0.0,17.0,0.0,0.0
82190ffffffffff,44.0,0.0,40.0,0.0,0.0
821947fffffffff,5.0,0.0,3.0,0.0,0.0
82194ffffffffff,20.0,0.0,2.0,2.0,0.0
821957fffffffff,7.0,0.0,3.0,2.0,2.0
82196ffffffffff,21.0,0.0,0.0,0.0,0.0
821977fffffffff,4.0,0.0,4.0,0.0,0.0
821aa7fffffffff,2.0,0.0,0.0,0.0,0.0
821b27fffffffff,2.0,0.0,0.0,0.0,0.0
821d27fffffffff,3.0,0.0,0.0,0.0,0.0
821e07fffffffff,5.0,0.0,0.0,0.0,0.0
821e27fffffffff,3.0,0.0,0.0,0.0,0.0
821e37fffffffff,5.0,0.0,0.0,0.0,0.0
821f0ffffffffff,1.0,0.0,0.0,0.0,0.0
821f17fffffffff,8.0,0.0,0.0,0.0,0.0
821f27fffffffff,2.0,0.0,0.0,1.0,0.0
821f2ffffffffff,2.0,0.0,0.0,0.0,0.0
821f87fffffffff,8.0,0.0,0.0,0.0,0.0
821f8ffffffffff,8.0,0.0,0.0,0.0,0.0
821fa7fffffffff,6.0,0.0,0.0,0.0,0.0
821faffffffffff,8.0,0.0,0.0,0.0,0.0
821fb7fffffffff,1.0,0.0,0.0,0.0,0.0
8222d7fffffffff,7.0,7.0,0.0,0.0,0.0
8222dffffffffff,67.0,28.0,0.0,7.0,0.0
8222effffffffff,34.0,16.0,0.0,5.0,0.0
822607fffffffff,3.0,0.0,0.0,0.0,0.0
82260ffffffffff,118.0,0.0,25.0,0.0,0.0
822617fffffffff,7.0,0.0,0.0,0.0,0.0
82261ffffffffff,25.0,0.0,14.0,0.0,2.0
822627fffffffff,33.0,0.0,6.0,0.0,0.0
82262ffffffffff,33.0,0.0,3.0,0.0,0.0
822637fffffffff,8.0,0.0,0.0,0.0,0.0
822647fffffffff,189.0,0.0,5.0,0.0,0.0
82264ffffffffff,177.0,0.0,10.0,0.0,0.0
822657fffffffff,299.0,0.0,10.0,0.0,0.0
82265ffffffffff,65.0,0.0,2.0,0.0,0.0
822667fffffffff,91.0,0.0,21.0,0.0,0.0
82266ffffffffff,156.0,0.0,2.0,0.0,0.0
822677fffffffff,54.0,0.0,0.0,0.0,0.0
822687fffffffff,359.0,2.0,32.0,0.0,23.0
82268ffffffffff,1093.0,0.0,68.0,2.0,22.0
822697fffffffff,499.0,0.0,38.0,13.0,38.0
82269ffffffffff,276.0,0.0,8.0,2.0,0.0
