cell_id,Megarynchus pitangua,Megarynchus pitangua [mexicanus Group],Megarynchus pitangua pitangua,Megarynchus pitangua chrysogaster
834424fffffffff,25.0,0.0,0.0,0.0
834501fffffffff,412.0,7.0,0.0,0.0
834505fffffffff,291.0,0.0,0.0,0.0
834508fffffffff,775.0,55.0,0.0,0.0
834509fffffffff,1391.0,290.0,0.0,0.0
83450afffffffff,1205.0,55.0,0.0,0.0
83450bfffffffff,457.0,34.0,0.0,0.0
83450cfffffffff,210.0,12.0,0.0,0.0
83450dfffffffff,537.0,176.0,0.0,0.0
83450efffffffff,865.0,36.0,0.0,0.0
834519fffffffff,2.0,0.0,0.0,0.0
834520fffffffff,784.0,10.0,0.0,0.0
834521fffffffff,1207.0,23.0,0.0,0.0
834522fffffffff,1749.0,0.0,0.0,0.0
834523fffffffff,662.0,0.0,0.0,0.0
834524fffffffff,1727.0,0.0,0.0,0.0
834525fffffffff,798.0,133.0,0.0,0.0
834526fffffffff,2060.0,0.0,0.0,0.0
834528fffffffff,586.0,34.0,0.0,0.0
834529fffffffff,53.0,3.0,0.0,0.0
83452afffffffff,1986.0,22.0,0.0,0.0
83452bfffffffff,376.0,24.0,0.0,0.0
83452cfffffffff,1239.0,85.0,0.0,0.0
83452dfffffffff,210.0,32.0,0.0,0.0
83452efffffffff,7310.0,77.0,0.0,0.0
834530fffffffff,64.0,0.0,0.0,0.0
834531fffffffff,351.0,0.0,0.0,0.0
834532fffffffff,142.0,0.0,0.0,0.0
834534fffffffff,228.0,0.0,0.0,0.0
834535fffffffff,187.0,0.0,0.0,0.0
834536fffffffff,129.0,0.0,0.0,0.0
834564fffffffff,58.0,0.0,0.0,0.0
83456dfffffffff,2.0,0.0,0.0,0.0
834572fffffffff,180.0,43.0,0.0,0.0
834574fffffffff,3.0,0.0,0.0,0.0
834576fffffffff,35.0,1.0,0.0,0.0
834802fffffffff,11.0,0.0,0.0,0.0
834806fffffffff,4.0,0.0,0.0,0.0
834833fffffffff,32.0,0.0,0.0,0.0
834836fffffffff,1201.0,0.0,0.0,0.0
834980fffffffff,6.0,0.0,0.0,0.0
834990fffffffff,82.0,9.0,0.0,0.0
834991fffffffff,26.0,0.0,0.0,0.0
834992fffffffff,15.0,2.0,0.0,0.0
834993fffffffff,14.0,3.0,0.0,0.0
834994fffffffff,13.0,0.0,0.0,0.0
834996fffffffff,7263.0,1317.0,0.0,0.0
834998fffffffff,463.0,32.0,0.0,0.0
83499bfffffffff,19.0,6.0,0.0,0.0
83499cfffffffff,72.0,1.0,0.0,0.0
83499efffffffff,77.0,0.0,0.0,0.0
8349a8fffffffff,114.0,0.0,0.0,0.0
8349a9fffffffff,583.0,59.0,0.0,0.0
8349abfffffffff,2.0,0.0,0.0,0.0
8349aefffffffff,5.0,0.0,0.0,0.0
8349b1fffffffff,14.0,0.0,0.0,0.0
8349b2fffffffff,2.0,0.0,0.0,0.0
8349b5fffffffff,67.0,0.0,0.0,0.0
8349b6fffffffff,7.0,0.0,0.0,0.0
835f03fffffffff,51.0,0.0,0.0,0.0
835f08fffffffff,40.0,0.0,0.0,0.0
835f09fffffffff,200.0,0.0,0.0,0.0
835f0bfffffffff,46.0,0.0,0.0,0.0
835f0dfffffffff,22.0,0.0,0.0,0.0
835f0efffffffff,2.0,0.0,0.0,0.0
835f11fffffffff,2.0,0.0,0.0,0.0
835f12fffffffff,16.0,0.0,0.0,0.0
835f13fffffffff,15.0,0.0,0.0,0.0
835f14fffffffff,6.0,0.0,0.0,0.0
835f16fffffffff,2.0,0.0,0.0,0.0
835f1cfffffffff,106.0,0.0,0.0,0.0
835f1dfffffffff,4.0,0.0,0.0,0.0
835f1efffffffff,12.0,0.0,0.0,0.0
835f22fffffffff,16.0,0.0,0.0,0.0
835f28fffffffff,4.0,0.0,0.0,0.0
835f29fffffffff,230.0,0.0,2.0,0.0
835f2bfffffffff,126.0,0.0,0.0,0.0
835f2dfffffffff,81.0,0.0,0.0,0.0
835f40fffffffff,55.0,0.0,3.0,0.0
835f41fffffffff,14.0,0.0,0.0,0.0
835f42fffffffff,18.0,0.0,1.0,0.0
835f43fffffffff,3.0,0.0,0.0,0.0
835f46fffffffff,3.0,0.0,0.0,0.0
835f48fffffffff,32.0,0.0,0.0,0.0
835f49fffffffff,18.0,0.0,0.0,0.0
835f4afffffffff,57.0,0.0,0.0,0.0
835f4bfffffffff,58.0,0.0,0.0,0.0
835f4efffffffff,6.0,0.0,0.0,0.0
835f56fffffffff,3.0,0.0,0.0,0.0
835f58fffffffff,947.0,0.0,0.0,0.0
835f59fffffffff,39.0,0.0,0.0,0.0
835f5bfffffffff,81.0,0.0,0.0,0.0
835f5dfffffffff,6.0,0.0,0.0,0.0
835f68fffffffff,19.0,0.0,0.0,0.0
835f71fffffffff,6.0,0.0,0.0,0.0
835f75fffffffff,42.0,0.0,0.0,0.0
836600fffffffff,16.0,0.0,0.0,0.0
836601fffffffff,18.0,0.0,2.0,0.0
836602fffffffff,357.0,0.0,0.0,0.0
836603fffffffff,14.0,0.0,0.0,0.0
836604fffffffff,86.0,0.0,0.0,0.0
836605fffffffff,9.0,0.0,0.0,0.0
836606fffffffff,129.0,0.0,0.0,0.0
836608fffffffff,980.0,0.0,8.0,0.0
836609fffffffff,27.0,0.0,0.0,0.0
83660afffffffff,295.0,0.0,7.0,0.0
83660bfffffffff,21.0,0.0,0.0,0.0
83660cfffffffff,137.0,0.0,3.0,0.0
83660dfffffffff,89.0,0.0,2.0,0.0
83660efffffffff,210.0,0.0,0.0,0.0
836610fffffffff,977.0,86.0,0.0,0.0
836611fffffffff,147.0,0.0,0.0,0.0
836612fffffffff,21.0,3.0,0.0,0.0
836613fffffffff,295.0,26.0,0.0,0.0
836615fffffffff,22.0,0.0,0.0,0.0
836616fffffffff,732.0,78.0,0.0,0.0
836618fffffffff,8.0,0.0,4.0,0.0
836619fffffffff,1316.0,0.0,50.0,0.0
83661cfffffffff,37.0,0.0,0.0,0.0
83661dfffffffff,106.0,0.0,0.0,0.0
83661efffffffff,71.0,0.0,0.0,0.0
836620fffffffff,1163.0,0.0,124.0,0.0
836621fffffffff,234.0,0.0,0.0,0.0
836622fffffffff,1091.0,0.0,90.0,0.0
836623fffffffff,49.0,0.0,3.0,0.0
836625fffffffff,30.0,0.0,0.0,0.0
836629fffffffff,111.0,0.0,0.0,0.0
83662afffffffff,6.0,0.0,0.0,0.0
83662bfffffffff,131.0,0.0,1.0,0.0
83662cfffffffff,41.0,0.0,0.0,0.0
83662dfffffffff,41.0,0.0,0.0,0.0
83662efffffffff,81.0,0.0,2.0,0.0
836631fffffffff,570.0,0.0,10.0,0.0
836640fffffffff,1.0,0.0,0.0,0.0
836641fffffffff,20.0,0.0,0.0,0.0
836644fffffffff,9.0,0.0,0.0,0.0
836645fffffffff,9.0,0.0,0.0,0.0
