cell_id,Tringa semipalmata,Tringa semipalmata semipalmata,Tringa semipalmata inornata
821247fffffffff,2.0,0.0,0.0
82124ffffffffff,75.0,0.0,0.0
821257fffffffff,173.0,0.0,34.0
82125ffffffffff,667.0,0.0,8.0
82126ffffffffff,2.0,0.0,0.0
8212c7fffffffff,9.0,0.0,0.0
8212cffffffffff,3858.0,0.0,412.0
8212e7fffffffff,10.0,0.0,1.0
8212effffffffff,1710.0,0.0,112.0
822607fffffffff,179.0,0.0,28.0
82260ffffffffff,228.0,0.0,9.0
822617fffffffff,199.0,0.0,24.0
82261ffffffffff,100.0,0.0,4.0
822627fffffffff,305.0,0.0,27.0
82262ffffffffff,199.0,0.0,12.0
822637fffffffff,1463.0,0.0,431.0
822647fffffffff,148.0,0.0,2.0
82264ffffffffff,63.0,0.0,12.0
822657fffffffff,363.0,0.0,8.0
82265ffffffffff,117.0,0.0,16.0
822667fffffffff,344.0,0.0,22.0
82266ffffffffff,92.0,0.0,0.0
822677fffffffff,93.0,0.0,9.0
822687fffffffff,1912.0,0.0,556.0
82268ffffffffff,1165.0,0.0,179.0
822697fffffffff,5067.0,0.0,2056.0
82269ffffffffff,350.0,0.0,80.0
8226a7fffffffff,87.0,0.0,20.0
8226affffffffff,1228.0,0.0,216.0
8226b7fffffffff,337.0,0.0,51.0
8226c7fffffffff,175.0,0.0,30.0
8226cffffffffff,234.0,0.0,1.0
8226d7fffffffff,58.0,0.0,7.0
8226dffffffffff,83.0,0.0,11.0
8226e7fffffffff,1252.0,0.0,124.0
8226effffffffff,69.0,0.0,6.0
8226f7fffffffff,403.0,0.0,98.0
822707fffffffff,1042.0,0.0,0.0
82270ffffffffff,3.0,0.0,0.0
822717fffffffff,1822.0,0.0,0.0
82271ffffffffff,707.0,0.0,72.0
822747fffffffff,87.0,0.0,4.0
82274ffffffffff,120.0,0.0,0.0
822757fffffffff,126.0,0.0,23.0
82275ffffffffff,277.0,0.0,18.0
822787fffffffff,1569.0,0.0,427.0
82278ffffffffff,347.0,0.0,83.0
822797fffffffff,888.0,0.0,112.0
82279ffffffffff,289.0,0.0,9.0
8227a7fffffffff,1542.0,0.0,0.0
8227affffffffff,2118.0,0.0,339.0
8227b7fffffffff,1487.0,0.0,324.0
822807fffffffff,5243.0,0.0,891.0
822817fffffffff,2576.0,0.0,147.0
82281ffffffffff,18.0,0.0,3.0
822837fffffffff,43079.0,0.0,6032.0
822887fffffffff,516.0,0.0,56.0
822897fffffffff,1087.0,0.0,40.0
82289ffffffffff,11.0,0.0,0.0
8228a7fffffffff,399.0,0.0,36.0
8228affffffffff,4911.0,0.0,469.0
8228b7fffffffff,1257.0,0.0,231.0
8228c7fffffffff,1051.0,0.0,273.0
8228f7fffffffff,9.0,0.0,0.0
822917fffffffff,5560.0,0.0,737.0
82291ffffffffff,518.0,0.0,215.0
822987fffffffff,107.0,0.0,1.0
82298ffffffffff,899.0,0.0,78.0
822997fffffffff,72.0,0.0,25.0
82299ffffffffff,210.0,0.0,73.0
8229a7fffffffff,40495.0,0.0,5217.0
8229affffffffff,5277.0,0.0,6.0
8229b7fffffffff,221.0,0.0,55.0
822a07fffffffff,951.0,167.0,20.0
822a17fffffffff,26208.0,6131.0,832.0
822a37fffffffff,24514.0,6229.0,432.0
