cell_id,Pyrrhocorax pyrrhocorax,Pyrrhocorax pyrrhocorax [pyrrhocorax Group],Pyrrhocorax pyrrhocorax baileyi
8410811ffffffff,1.0,0.0,0.0
8415b07ffffffff,2.0,0.0,0.0
8415b69ffffffff,2.0,0.0,0.0
8418011ffffffff,36.0,0.0,0.0
8418013ffffffff,27.0,0.0,0.0
8418019ffffffff,34.0,0.0,0.0
841801bffffffff,4.0,0.0,0.0
841801dffffffff,42.0,0.0,0.0
841804bffffffff,17.0,0.0,0.0
8418053ffffffff,66.0,0.0,0.0
8418057ffffffff,19.0,0.0,0.0
8418059ffffffff,21.0,0.0,0.0
841805bffffffff,65.0,0.0,0.0
841805dffffffff,2.0,0.0,0.0
84180c9ffffffff,10.0,0.0,0.0
84180cdffffffff,59.0,0.0,0.0
8418203ffffffff,4.0,0.0,0.0
8418209ffffffff,2.0,0.0,0.0
841820bffffffff,2.0,0.0,0.0
8418215ffffffff,1.0,0.0,0.0
8418235ffffffff,49.0,0.0,0.0
8418237ffffffff,6.0,0.0,0.0
841823dffffffff,12.0,0.0,0.0
8418243ffffffff,2.0,0.0,0.0
8418255ffffffff,2.0,0.0,0.0
8418281ffffffff,8.0,0.0,0.0
8418287ffffffff,2.0,0.0,0.0
841828bffffffff,35.0,0.0,0.0
8418299ffffffff,121.0,0.0,0.0
84182a3ffffffff,27.0,0.0,0.0
84182a5ffffffff,2.0,0.0,0.0
84182abffffffff,11.0,0.0,0.0
84182adffffffff,2.0,0.0,0.0
84182c3ffffffff,2.0,0.0,0.0
84182cdffffffff,4.0,0.0,0.0
84182d3ffffffff,14.0,0.0,0.0
84182d9ffffffff,12.0,0.0,0.0
84182dbffffffff,4.0,0.0,0.0
8418409ffffffff,2.0,0.0,0.0
8418469ffffffff,1.0,0.0,0.0
841846dffffffff,57.0,0.0,0.0
8418491ffffffff,2.0,0.0,0.0
8418493ffffffff,316.0,0.0,0.0
8418495ffffffff,6.0,0.0,0.0
8418497ffffffff,58.0,0.0,0.0
84184a3ffffffff,7.0,0.0,0.0
84184b1ffffffff,96.0,0.0,0.0
84184b3ffffffff,72.0,0.0,0.0
84184b5ffffffff,70.0,0.0,0.0
84184b7ffffffff,31.0,0.0,0.0
