cell_id,Lathrotriccus euleri,Lathrotriccus euleri [flaviventris Group],Lathrotriccus euleri euleri/argentinus
825f07fffffffff,3.0,0.0,0.0
825f17fffffffff,6.0,0.0,0.0
825f1ffffffffff,1.0,0.0,0.0
825f27fffffffff,1.0,0.0,0.0
825f47fffffffff,3.0,1.0,0.0
825f4ffffffffff,7.0,0.0,0.0
825f57fffffffff,4.0,0.0,0.0
825f5ffffffffff,527.0,0.0,0.0
825f6ffffffffff,2.0,0.0,0.0
825f77fffffffff,9.0,0.0,0.0
82660ffffffffff,2.0,0.0,0.0
82662ffffffffff,15.0,0.0,0.0
826647fffffffff,96.0,0.0,0.0
826657fffffffff,36.0,0.0,0.0
82665ffffffffff,2.0,0.0,0.0
82666ffffffffff,1.0,0.0,0.0
826677fffffffff,1.0,0.0,0.0
8266c7fffffffff,16.0,0.0,0.0
8266cffffffffff,21.0,0.0,0.0
8266dffffffffff,300.0,37.0,0.0
8266e7fffffffff,10.0,0.0,0.0
8266effffffffff,302.0,0.0,0.0
826747fffffffff,86.0,3.0,0.0
82674ffffffffff,22.0,0.0,0.0
826757fffffffff,23.0,0.0,0.0
82675ffffffffff,29.0,0.0,0.0
828007fffffffff,20.0,0.0,0.0
828017fffffffff,98.0,0.0,0.0
82802ffffffffff,3.0,0.0,0.0
828037fffffffff,99.0,0.0,0.0
828047fffffffff,2.0,0.0,0.0
82804ffffffffff,1.0,0.0,0.0
828107fffffffff,57.0,0.0,0.0
828117fffffffff,10.0,0.0,0.0
82811ffffffffff,8.0,0.0,0.0
828127fffffffff,165.0,0.0,0.0
82812ffffffffff,12.0,0.0,0.0
828137fffffffff,283.0,0.0,0.0
828147fffffffff,34.0,0.0,0.0
82814ffffffffff,70.0,0.0,0.0
82815ffffffffff,25.0,0.0,0.0
828167fffffffff,29.0,0.0,0.0
828177fffffffff,110.0,0.0,0.0
828187fffffffff,275.0,0.0,0.0
82818ffffffffff,23.0,0.0,0.0
8281affffffffff,4.0,0.0,0.0
828a07fffffffff,2.0,0.0,0.0
828a17fffffffff,27.0,0.0,0.0
828a1ffffffffff,4.0,0.0,0.0
828a37fffffffff,2.0,0.0,0.0
828a47fffffffff,13.0,0.0,0.0
828a6ffffffffff,48.0,0.0,0.0
828a8ffffffffff,6.0,0.0,0.0
828aaffffffffff,4.0,0.0,0.0
828ab7fffffffff,1.0,0.0,0.0
828adffffffffff,3.0,0.0,0.0
828ae7fffffffff,1.0,0.0,0.0
828af7fffffffff,30.0,0.0,0.0
828b0ffffffffff,14.0,0.0,0.0
828b1ffffffffff,3.0,0.0,0.0
828b27fffffffff,41.0,0.0,0.0
828b2ffffffffff,20.0,0.0,0.0
828b47fffffffff,161.0,4.0,0.0
828b4ffffffffff,3.0,0.0,0.0
828b57fffffffff,15.0,0.0,0.0
