cell_id,Trogon surrucura,Trogon surrucura aurantius,Trogon surrucura surrucura
828107fffffffff,146.0,77.0,0.0
828117fffffffff,9.0,0.0,0.0
82811ffffffffff,6.0,6.0,0.0
828127fffffffff,122.0,0.0,50.0
82812ffffffffff,8.0,0.0,0.0
828137fffffffff,211.0,40.0,0.0
82a597fffffffff,5.0,0.0,0.0
82a807fffffffff,1091.0,0.0,141.0
82a80ffffffffff,30.0,0.0,0.0
82a817fffffffff,3120.0,0.0,191.0
82a81ffffffffff,200.0,0.0,13.0
82a827fffffffff,337.0,0.0,10.0
82a82ffffffffff,182.0,0.0,0.0
82a837fffffffff,487.0,0.0,21.0
82a847fffffffff,16.0,0.0,0.0
82a867fffffffff,35.0,0.0,0.0
82a877fffffffff,62.0,0.0,0.0
82a887fffffffff,795.0,145.0,4.0
82a88ffffffffff,59.0,4.0,18.0
82a897fffffffff,115.0,12.0,0.0
82a8a7fffffffff,2090.0,277.0,52.0
82a8affffffffff,413.0,15.0,27.0
82a8c7fffffffff,150.0,0.0,2.0
82a8d7fffffffff,112.0,0.0,17.0
82a8dffffffffff,33.0,0.0,0.0
82a8e7fffffffff,12.0,0.0,0.0
82a8f7fffffffff,10.0,0.0,0.0
82a907fffffffff,12.0,0.0,0.0
82a90ffffffffff,296.0,0.0,8.0
82a91ffffffffff,295.0,0.0,9.0
82a92ffffffffff,249.0,0.0,0.0
82a947fffffffff,1710.0,0.0,0.0
82a94ffffffffff,137.0,0.0,0.0
82a957fffffffff,4087.0,0.0,114.0
82a95ffffffffff,466.0,0.0,0.0
82a967fffffffff,50.0,0.0,0.0
82a96ffffffffff,420.0,0.0,0.0
82a977fffffffff,222.0,0.0,1.0
82c2d7fffffffff,3.0,0.0,0.0
