cell_id,Turdus simillimus,Turdus simillimus simillimus/bourdilloni,Turdus simillimus nigropileus,Turdus simillimus kinnisii
823c8ffffffffff,9.0,0.0,0.0,0.0
823c97fffffffff,4.0,0.0,0.0,0.0
823cb7fffffffff,1.0,0.0,0.0,0.0
823d87fffffffff,4.0,0.0,2.0,0.0
823d9ffffffffff,27.0,0.0,0.0,0.0
823db7fffffffff,23.0,0.0,0.0,0.0
8242c7fffffffff,24.0,0.0,0.0,0.0
8242cffffffffff,2.0,0.0,0.0,0.0
8242dffffffffff,6.0,0.0,0.0,0.0
8242effffffffff,33.0,0.0,7.0,0.0
826007fffffffff,256.0,4.0,5.0,0.0
826017fffffffff,229.0,1.0,5.0,0.0
82601ffffffffff,13.0,0.0,3.0,0.0
826027fffffffff,3.0,1.0,0.0,0.0
826037fffffffff,499.0,28.0,13.0,0.0
82608ffffffffff,31.0,0.0,0.0,0.0
826097fffffffff,8.0,0.0,0.0,0.0
82609ffffffffff,17.0,0.0,0.0,0.0
8260a7fffffffff,208.0,0.0,0.0,0.0
8260affffffffff,73.0,1.0,1.0,0.0
8260b7fffffffff,42.0,0.0,0.0,0.0
82618ffffffffff,20.0,0.0,2.0,0.0
