cell_id,Cepphus grylle,Cepphus grylle mandtii,Cepphus grylle [grylle Group]
8400011ffffffff,2.0,0.0,0.0
840001bffffffff,2.0,0.0,0.0
8400253ffffffff,1.0,0.0,0.0
8400283ffffffff,2.0,0.0,0.0
8400289ffffffff,6.0,0.0,0.0
840028bffffffff,10.0,0.0,0.0
840028dffffffff,14.0,1.0,0.0
8400293ffffffff,1.0,1.0,0.0
8400295ffffffff,2.0,0.0,0.0
8400297ffffffff,3.0,0.0,0.0
8400299ffffffff,1.0,0.0,0.0
840029bffffffff,3.0,0.0,0.0
840029dffffffff,4.0,0.0,0.0
84002b5ffffffff,6.0,0.0,0.0
84002bbffffffff,3.0,0.0,0.0
84002c1ffffffff,2.0,0.0,0.0
84002c3ffffffff,3.0,0.0,0.0
84002c9ffffffff,12.0,0.0,0.0
84002d5ffffffff,2.0,0.0,0.0
84002d7ffffffff,30.0,2.0,0.0
84002dbffffffff,2.0,0.0,0.0
84002e3ffffffff,2.0,0.0,0.0
84002ebffffffff,2.0,0.0,0.0
8400709ffffffff,2.0,0.0,0.0
8400729ffffffff,2.0,0.0,0.0
8400747ffffffff,4.0,0.0,0.0
8400755ffffffff,4.0,0.0,0.0
8400757ffffffff,2.0,0.0,0.0
8400765ffffffff,10.0,0.0,0.0
840076bffffffff,2.0,0.0,0.0
84010d9ffffffff,3.0,0.0,0.0
8401203ffffffff,2.0,0.0,0.0
8401207ffffffff,2.0,0.0,0.0
840120bffffffff,1.0,0.0,0.0
8401219ffffffff,2.0,0.0,0.0
8401221ffffffff,1.0,0.0,0.0
8401225ffffffff,5.0,0.0,0.0
840122bffffffff,12.0,0.0,0.0
840122dffffffff,1.0,0.0,0.0
8401239ffffffff,2.0,0.0,0.0
840123dffffffff,11.0,0.0,0.0
8401243ffffffff,4.0,0.0,0.0
840124dffffffff,2.0,0.0,0.0
840125dffffffff,2.0,0.0,0.0
8401263ffffffff,2.0,0.0,0.0
840126bffffffff,2.0,0.0,0.0
840130bffffffff,316.0,5.0,11.0
8401319ffffffff,105.0,0.0,2.0
840131dffffffff,54.0,0.0,2.0
8401351ffffffff,77.0,2.0,11.0
8401353ffffffff,23.0,0.0,0.0
8401355ffffffff,117.0,0.0,8.0
8401357ffffffff,3.0,0.0,0.0
8401359ffffffff,4.0,0.0,0.0
840135bffffffff,28.0,0.0,0.0
840135dffffffff,13.0,0.0,1.0
840136dffffffff,1.0,0.0,0.0
8401503ffffffff,9.0,0.0,0.0
8401507ffffffff,3.0,0.0,0.0
8401509ffffffff,28.0,0.0,0.0
8401513ffffffff,2.0,0.0,0.0
8401515ffffffff,11.0,0.0,0.0
8401517ffffffff,49.0,5.0,0.0
840151dffffffff,15.0,0.0,0.0
8401521ffffffff,5.0,0.0,0.0
8401523ffffffff,13.0,1.0,0.0
840152bffffffff,2.0,0.0,0.0
8401531ffffffff,3.0,2.0,0.0
8401533ffffffff,29.0,4.0,0.0
8401535ffffffff,1.0,0.0,0.0
840153bffffffff,206.0,41.0,0.0
8401541ffffffff,1.0,0.0,0.0
8401547ffffffff,4.0,0.0,0.0
8401557ffffffff,1.0,0.0,0.0
8401567ffffffff,1.0,0.0,0.0
8401583ffffffff,2.0,2.0,0.0
8401585ffffffff,7.0,7.0,0.0
84015a1ffffffff,55.0,14.0,0.0
84015a3ffffffff,10.0,8.0,0.0
84015a5ffffffff,26.0,4.0,0.0
84015a7ffffffff,2.0,0.0,0.0
84015a9ffffffff,44.0,9.0,0.0
84015abffffffff,22.0,1.0,0.0
84015adffffffff,20.0,5.0,0.0
84015c9ffffffff,1.0,1.0,0.0
84015e1ffffffff,203.0,172.0,0.0
84015e3ffffffff,41.0,10.0,0.0
84015e7ffffffff,2.0,0.0,0.0
84015e9ffffffff,16.0,3.0,0.0
84015ebffffffff,6.0,6.0,0.0
84015edffffffff,15.0,1.0,0.0
8401b31ffffffff,2.0,0.0,0.0
8402405ffffffff,11.0,0.0,0.0
8402409ffffffff,2.0,0.0,0.0
8402411ffffffff,1.0,0.0,0.0
8402415ffffffff,2.0,0.0,0.0
840241dffffffff,4.0,0.0,0.0
8402421ffffffff,2.0,0.0,0.0
8402423ffffffff,5.0,0.0,0.0
8402435ffffffff,5.0,0.0,0.0
840243dffffffff,2.0,0.0,0.0
8402443ffffffff,1.0,0.0,0.0
8402449ffffffff,1.0,0.0,0.0
840244dffffffff,2.0,0.0,0.0
8402463ffffffff,8.0,0.0,0.0
84024c1ffffffff,17.0,0.0,0.0
84024c5ffffffff,7.0,0.0,0.0
84024c9ffffffff,17.0,0.0,0.0
84024d1ffffffff,2.0,0.0,0.0
84024e9ffffffff,2.0,0.0,0.0
8402501ffffffff,14.0,0.0,0.0
840250bffffffff,5.0,0.0,0.0
8402511ffffffff,9.0,0.0,0.0
8402513ffffffff,1.0,0.0,0.0
8402515ffffffff,4.0,0.0,0.0
840252bffffffff,1.0,0.0,0.0
8402551ffffffff,2.0,0.0,0.0
8402553ffffffff,2.0,0.0,0.0
84025a7ffffffff,2.0,0.0,0.0
8402627ffffffff,1.0,0.0,0.0
8402643ffffffff,3.0,0.0,0.0
8402655ffffffff,3.0,0.0,0.0
84026b7ffffffff,2.0,0.0,0.0
84026bdffffffff,1.0,0.0,0.0
8402703ffffffff,2.0,0.0,0.0
840271bffffffff,2.0,0.0,0.0
8406013ffffffff,2.0,0.0,0.0
8406221ffffffff,1.0,0.0,0.0
8406261ffffffff,1.0,0.0,0.0
840626bffffffff,2.0,0.0,0.0
84062edffffffff,1.0,0.0,0.0
8406319ffffffff,1.0,0.0,0.0
8406351ffffffff,1.0,0.0,0.0
8406893ffffffff,4.0,0.0,0.0
8406897ffffffff,4.0,0.0,0.0
840689bffffffff,6.0,0.0,0.0
840689dffffffff,2.0,0.0,0.0
840692dffffffff,2.0,0.0,0.0
8406953ffffffff,2.0,0.0,0.0
8406967ffffffff,3.0,0.0,0.0
8406997ffffffff,2.0,0.0,0.0
8406c95ffffffff,4.0,0.0,0.0
8406d07ffffffff,2.0,0.0,0.0
8406d1dffffffff,6.0,0.0,0.0
8406d45ffffffff,2.0,0.0,0.0
8406d4dffffffff,1.0,0.0,0.0
8406d69ffffffff,1.0,0.0,0.0
8406d6bffffffff,1.0,0.0,0.0
8406dc1ffffffff,3.0,0.0,0.0
8406dcdffffffff,3.0,0.0,0.0
8406dd1ffffffff,2.0,0.0,0.0
8406dd3ffffffff,1.0,0.0,0.0
8406ed1ffffffff,2.0,0.0,0.0
8406eddffffffff,1.0,0.0,0.0
8407043ffffffff,12.0,4.0,0.0
840704bffffffff,2.0,0.0,0.0
8407069ffffffff,1.0,0.0,0.0
8407411ffffffff,44.0,0.0,1.0
8407417ffffffff,13.0,0.0,4.0
8407425ffffffff,17.0,0.0,0.0
8407433ffffffff,14.0,0.0,0.0
8407437ffffffff,16.0,0.0,2.0
840745dffffffff,6.0,0.0,2.0
8407465ffffffff,86.0,0.0,18.0
