cell_id,Monachella muelleriana,Monachella muelleriana muelleriana,Monachella muelleriana coultasi
84728e7ffffffff,1.0,0.0,0.0
8472a2bffffffff,7.0,0.0,0.0
8472d23ffffffff,115.0,0.0,0.0
8472d35ffffffff,1.0,0.0,0.0
8472da1ffffffff,113.0,6.0,0.0
8472da3ffffffff,6.0,0.0,0.0
8472dabffffffff,1.0,0.0,0.0
8472db3ffffffff,5.0,0.0,0.0
8472f23ffffffff,14.0,0.0,0.0
8472f35ffffffff,8.0,0.0,0.0
849c851ffffffff,2.0,0.0,0.0
849c853ffffffff,1.0,0.0,0.0
849c85bffffffff,1.0,0.0,0.0
849c8bdffffffff,1.0,0.0,0.0
849c8e7ffffffff,1.0,0.0,0.0
849c8e9ffffffff,1.0,0.0,0.0
849c9d5ffffffff,4.0,0.0,0.0
849c9d9ffffffff,4.0,0.0,0.0
849c9ddffffffff,1.0,0.0,0.0
849cb51ffffffff,6.0,0.0,0.0
849cd07ffffffff,1.0,0.0,0.0
849cd25ffffffff,2.0,0.0,0.0
849cd2dffffffff,2.0,0.0,0.0
849d9b3ffffffff,2.0,0.0,0.0
