cell_id,Geothlypis semiflava,Geothlypis semiflava bairdi,Geothlypis semiflava chiriquensis,Geothlypis semiflava semiflava
83661bfffffffff,2.0,0.0,0.0,0.0
8366b4fffffffff,4.0,1.0,0.0,0.0
8366b5fffffffff,48.0,0.0,45.0,0.0
8366c6fffffffff,2.0,0.0,0.0,0.0
8366d0fffffffff,48.0,0.0,0.0,0.0
8366e6fffffffff,1.0,0.0,0.0,0.0
8366f0fffffffff,3.0,0.0,0.0,0.0
8366f1fffffffff,14.0,0.0,0.0,0.0
83679afffffffff,2.0,0.0,0.0,0.0
836d65fffffffff,4.0,0.0,0.0,0.0
836d68fffffffff,2.0,0.0,0.0,0.0
836d69fffffffff,6.0,0.0,0.0,0.0
836d6dfffffffff,3.0,1.0,0.0,0.0
838f0dfffffffff,10.0,0.0,0.0,4.0
838f2afffffffff,3.0,0.0,0.0,0.0
