cell_id,Geophaps plumifera,Geophaps plumifera ferruginea,Geophaps plumifera plumifera/leucogaster
83948efffffffff,23.0,18.0,0.0
839490fffffffff,1.0,0.0,0.0
839d4afffffffff,1.0,0.0,1.0
839d62fffffffff,2.0,0.0,0.0
83b881fffffffff,1.0,0.0,1.0
83b89efffffffff,1.0,0.0,1.0
83b8abfffffffff,3.0,0.0,3.0
83b991fffffffff,2.0,0.0,0.0
83b993fffffffff,1.0,0.0,0.0
