cell_id,Heterophasia desgodinsi,Heterophasia desgodinsi desgodinsi/tonkinensis,Heterophasia desgodinsi engelbachi/kingi,Heterophasia desgodinsi robinsoni
824007fffffffff,5.0,0.0,0.0,0.0
824017fffffffff,4.0,0.0,0.0,0.0
82401ffffffffff,6.0,0.0,0.0,0.0
82402ffffffffff,1.0,0.0,0.0,0.0
824047fffffffff,183.0,2.0,0.0,0.0
82404ffffffffff,497.0,9.0,0.0,0.0
824057fffffffff,2.0,0.0,0.0,0.0
82405ffffffffff,47.0,2.0,0.0,0.0
824067fffffffff,17.0,2.0,0.0,0.0
82406ffffffffff,6.0,1.0,0.0,0.0
824077fffffffff,18.0,1.0,0.0,0.0
8240affffffffff,3.0,0.0,0.0,0.0
8240c7fffffffff,2.0,0.0,0.0,0.0
8240e7fffffffff,56.0,0.0,0.0,0.0
8240effffffffff,4.0,0.0,0.0,0.0
82415ffffffffff,13.0,0.0,0.0,0.0
824167fffffffff,1.0,0.0,0.0,0.0
82649ffffffffff,6.0,0.0,0.0,0.0
826597fffffffff,2.0,0.0,0.0,0.0
