cell_id,Apalis rufogularis,Apalis rufogularis rufogularis/sanderi,Apalis rufogularis angolensis/brauni,Apalis rufogularis nigrescens/kigezi
835883fffffffff,1.0,0.0,0.0,0.0
8358d2fffffffff,2.0,0.0,0.0,0.0
8358d3fffffffff,1.0,0.0,0.0,0.0
8358e2fffffffff,2.0,0.0,0.0,0.0
836a9afffffffff,15.0,0.0,0.0,0.0
836a9efffffffff,10.0,0.0,0.0,0.0
836ac0fffffffff,105.0,0.0,0.0,17.0
836ac1fffffffff,313.0,0.0,0.0,60.0
836ac2fffffffff,1.0,0.0,0.0,0.0
836ac3fffffffff,9.0,0.0,0.0,0.0
836ac8fffffffff,6.0,0.0,0.0,5.0
836acafffffffff,4.0,0.0,0.0,0.0
836accfffffffff,16.0,0.0,0.0,5.0
836acdfffffffff,127.0,0.0,0.0,20.0
836acefffffffff,1.0,0.0,0.0,0.0
836adcfffffffff,509.0,0.0,0.0,55.0
836addfffffffff,1.0,0.0,0.0,1.0
836ae8fffffffff,2.0,0.0,0.0,0.0
836aeafffffffff,208.0,0.0,0.0,22.0
837a48fffffffff,7.0,0.0,0.0,0.0
837a4cfffffffff,210.0,0.0,0.0,14.0
837a4dfffffffff,31.0,0.0,0.0,4.0
837a68fffffffff,3.0,0.0,0.0,0.0
837a69fffffffff,1.0,0.0,0.0,0.0
837a6bfffffffff,9.0,0.0,0.0,4.0
838212fffffffff,3.0,0.0,0.0,0.0
838285fffffffff,1.0,0.0,0.0,0.0
83828afffffffff,1.0,0.0,0.0,0.0
83828bfffffffff,3.0,0.0,0.0,0.0
83828dfffffffff,142.0,53.0,0.0,0.0
838290fffffffff,8.0,1.0,0.0,0.0
8382a3fffffffff,6.0,3.0,0.0,0.0
8382a5fffffffff,1.0,1.0,0.0,0.0
8382a8fffffffff,8.0,1.0,0.0,0.0
8382aafffffffff,5.0,1.0,0.0,0.0
8382abfffffffff,2.0,0.0,0.0,0.0
8382d0fffffffff,27.0,19.0,0.0,0.0
8382d1fffffffff,1.0,0.0,0.0,0.0
8382d2fffffffff,8.0,5.0,0.0,0.0
8382d3fffffffff,7.0,0.0,0.0,0.0
8382f6fffffffff,2.0,0.0,0.0,0.0
838312fffffffff,2.0,0.0,0.0,0.0
838313fffffffff,2.0,0.0,0.0,0.0
838315fffffffff,13.0,0.0,3.0,0.0
838392fffffffff,3.0,0.0,0.0,0.0
838398fffffffff,29.0,0.0,0.0,0.0
8383a8fffffffff,3.0,0.0,0.0,0.0
8383acfffffffff,12.0,0.0,5.0,0.0
8383adfffffffff,6.0,0.0,4.0,0.0
839609fffffffff,6.0,0.0,0.0,0.0
83960bfffffffff,5.0,0.0,0.0,0.0
839656fffffffff,5.0,0.0,0.0,1.0
8396d2fffffffff,2.0,0.0,0.0,0.0
